"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Total Runtime (ms)"
"36","3.14223775","83","3.1413445","83","3.14161625","83","3.14097525","83","83"
"37","3.14171875","89","3.1416255","89","3.141985","89","3.14159675","89","89"
"38","3.14183875","95","3.14218625","95","3.14182325","95","3.141577","95","95"
"39","3.14153125","81","3.14137825","81","3.14225225","81","3.14159675","81","81"
"40","3.1414715","85","3.142477","85","3.14120325","85","3.14177875","85","85"
"41","3.141812","88","3.14152675","88","3.1417825","88","3.141845","88","88"
"42","3.14156975","81","3.14171075","81","3.14156125","81","3.1419325","81","81"
"43","3.14065025","83","3.1414865","83","3.141614","83","3.1412435","83","83"
"44","3.1424335","82","3.1416","82","3.1418825","82","3.14176975","82","82"
"45","3.1419815","85","3.1420645","85","3.14081925","85","3.14181675","85","85"
"46","3.141579","81","3.1415195","81","3.14186225","81","3.14199225","81","81"
"47","3.1408515","85","3.1413415","85","3.14226775","85","3.14161775","85","85"
"48","3.14148425","81","3.1419475","81","3.1422295","81","3.14117225","81","81"
"49","3.14128825","95","3.14156925","95","3.141733","95","3.141353","95","95"
"50","3.14157975","84","3.1418045","84","3.14185175","84","3.141693","84","84"
"51","3.141484","84","3.141761","84","3.14106975","84","3.1418515","84","84"
"52","3.14226025","87","3.14230125","87","3.14199525","87","3.1409035","87","87"
"53","3.141311","86","3.141591","86","3.1417465","86","3.14169075","86","86"
"54","3.14137675","93","3.141608","93","3.1415665","93","3.14181075","93","93"
"55","3.1415835","77","3.1421545","77","3.141104","77","3.14138175","77","86"
"56","3.14126525","85","3.14232675","85","3.141481","85","3.140981","85","85"
"57","3.141651","89","3.14161025","89","3.14178525","89","3.1414435","89","89"
"58","3.14166","86","3.141902","86","3.14240775","86","3.14141825","86","86"
"59","3.14122725","80","3.1414565","80","3.14150725","80","3.14155425","80","80"
"60","3.140964","90","3.14174375","90","3.1416815","90","3.14176425","90","90"
"61","3.14200625","86","3.14136425","86","3.14099075","86","3.1419795","86","86"
"62","3.1418","85","3.1413035","85","3.140877","85","3.14226","85","85"
"63","3.14144525","85","3.141218","85","3.1415825","85","3.142125","85","85"
"64","3.14131825","82","3.14175275","82","3.1421985","82","3.1421525","82","82"
"65","3.14205375","82","3.14155","82","3.1414565","82","3.14155525","82","82"
"66","3.14207525","82","3.141718","82","3.1421365","82","3.14179975","82","82"
"67","3.1412325","82","3.1415735","82","3.1409635","82","3.141504","82","82"
"68","3.141336","82","3.140953","82","3.14174175","82","3.14168775","82","83"
"69","3.14141075","84","3.141847","84","3.1420925","84","3.141172","84","84"
"70","3.14105475","93","3.14176175","93","3.14175575","93","3.14184575","93","93"
"71","3.14133475","98","3.14226575","98","3.1416695","98","3.14129875","98","98"
"72","3.14181075","80","3.141582","80","3.14180825","80","3.1415195","80","80"
"73","3.141485","86","3.14148725","86","3.1418575","86","3.142376","86","86"
"74","3.142588","80","3.1416715","80","3.14206525","80","3.1413075","80","80"
"75","3.14164125","85","3.1411375","85","3.1412465","85","3.140889","85","85"
"76","3.14195225","81","3.141306","81","3.142054","81","3.1415205","81","81"
"77","3.141691","92","3.14197025","92","3.14166975","92","3.14154925","92","92"
"78","3.1416625","85","3.14074725","85","3.142155","85","3.1417105","85","85"
"79","3.14198875","84","3.14241725","84","3.1411575","84","3.1403665","84","84"
"80","3.14179575","84","3.14106275","84","3.14155825","84","3.141802","84","84"
"81","3.1419655","82","3.140658","82","3.14109075","82","3.142101","82","83"
"82","3.14143625","88","3.14146725","88","3.1409205","88","3.1417175","88","88"
"83","3.141013","83","3.1410975","83","3.14145975","83","3.141972","83","83"
"84","3.141168","86","3.1414895","86","3.14169225","86","3.14148625","86","87"
"85","3.1412385","85","3.141302","85","3.14149775","85","3.1413985","85","85"
"86","3.1420155","83","3.1411325","83","3.1416055","83","3.1418205","83","83"
"87","3.141605","83","3.14230075","83","3.14017675","83","3.140982","83","83"
"88","3.142001","95","3.14174725","95","3.14128775","95","3.14154175","95","97"
"89","3.14201425","84","3.14142725","84","3.141501","84","3.14195675","84","84"
"90","3.14251725","81","3.14149025","81","3.14166125","81","3.14171525","81","81"
"91","3.140541","82","3.1412845","82","3.140838","82","3.1416135","82","82"
"92","3.1413835","84","3.141967","84","3.142398","84","3.14171225","84","84"
"93","3.14153425","80","3.14203075","80","3.14090125","80","3.141551","80","80"
"94","3.14178975","80","3.14149","80","3.14155625","80","3.14115725","80","81"
"95","3.1409965","89","3.1417975","89","3.14098025","89","3.14161975","89","89"
"96","3.14114175","83","3.141659","83","3.14213975","83","3.14210375","83","83"
"97","3.1414865","84","3.141634","84","3.140949","84","3.14151375","84","84"
"98","3.1405845","97","3.1409935","97","3.1413895","97","3.14157075","97","97"
"99","3.1406395","81","3.14144825","81","3.14158425","81","3.142126","81","81"
"100","3.1416235","83","3.141931","83","3.142214","83","3.1408145","83","83"
