"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Total Runtime (ms)"
"72","3.142056","174","3.14187225","174","3.141915","174","3.1414965","174","3.141887","174","3.1413295","174","3.141486","174","3.14182425","174","3.142132","174","174"
"73","3.14122375","180","3.141984","180","3.14153175","180","3.14149425","180","3.14104525","180","3.14184475","180","3.1416915","180","3.141904","180","3.14212275","180","180"
"74","3.1410235","183","3.14143575","183","3.14154525","183","3.1413605","183","3.1417315","183","3.141499","183","3.14131875","183","3.142537","183","3.141481","183","183"
"75","3.1418065","178","3.14213125","178","3.142054","178","3.141459","178","3.14199225","178","3.14236025","178","3.14107375","178","3.141239","178","3.14219675","178","179"
"76","3.14192825","177","3.14151825","177","3.14244375","177","3.141249","177","3.1421205","177","3.1418355","177","3.14192375","177","3.14115025","177","3.1417305","177","177"
"77","3.1410735","173","3.14238975","173","3.14126075","173","3.14174325","173","3.140913","173","3.14170425","173","3.14086575","173","3.14083","173","3.14184","173","173"
"78","3.1412215","178","3.14185075","178","3.14170675","178","3.1412595","178","3.14126725","178","3.14224775","178","3.1422685","178","3.14140075","178","3.142345","178","178"
"79","3.1411735","176","3.14145475","176","3.14216475","176","3.14175325","176","3.141044","176","3.14225","176","3.14140725","176","3.14184","176","3.142477","176","176"
"80","3.14193525","189","3.14166375","189","3.1420095","189","3.14112325","189","3.1418","189","3.141502","189","3.1415635","189","3.14128675","189","3.14148375","189","189"
"81","3.1419345","177","3.14204725","177","3.14196725","177","3.141829","177","3.1409475","177","3.14161","177","3.14116525","177","3.141946","177","3.1415645","177","177"
"82","3.14142675","172","3.14126475","172","3.14164975","172","3.14151","172","3.1413835","172","3.14173575","172","3.141391","172","3.1423325","172","3.14170425","172","172"
"83","3.14124925","174","3.14157425","174","3.14079775","174","3.14117875","174","3.141703","174","3.14156825","174","3.1409635","174","3.141926","174","3.14127525","174","174"
"84","3.14158775","173","3.14107875","173","3.14141675","173","3.141333","173","3.14196825","173","3.141911","173","3.140863","173","3.14122675","173","3.1421185","173","173"
"85","3.14115","172","3.14188075","172","3.14258725","172","3.1413065","172","3.1423965","172","3.140991","172","3.14177325","172","3.1414545","172","3.1415365","172","172"
"86","3.1413135","177","3.14177525","177","3.141525","177","3.142075","177","3.1414525","177","3.14195525","177","3.14181525","177","3.14187125","177","3.142399","177","177"
"87","3.1408645","172","3.141805","172","3.1414525","172","3.14171375","172","3.1412545","172","3.141784","172","3.141587","172","3.141672","172","3.1416855","172","172"
"88","3.1422435","176","3.14119175","176","3.14274725","176","3.14163175","176","3.14111875","176","3.14119125","176","3.141158","176","3.14184075","176","3.14149575","176","176"
"89","3.141683","180","3.1420595","180","3.1412475","180","3.1412855","180","3.14143775","180","3.14165475","180","3.14196575","180","3.141511","180","3.14184375","180","180"
"90","3.14168875","173","3.1423135","173","3.14207025","173","3.1422295","173","3.142307","173","3.141477","173","3.1408285","173","3.14136175","173","3.14138025","173","173"
"91","3.1416365","176","3.1412435","176","3.14195425","176","3.14262075","176","3.141413","176","3.14099725","176","3.1414895","176","3.14121725","176","3.14198875","176","177"
"92","3.14140875","188","3.1414035","188","3.142479","188","3.14116825","188","3.14200775","188","3.14136125","188","3.14145","188","3.1411005","188","3.14172375","188","188"
"93","3.141697","172","3.14124675","172","3.14104925","172","3.1417325","172","3.1421615","172","3.14123425","172","3.1416525","172","3.14157625","172","3.14173925","172","172"
"94","3.14129475","174","3.14162875","174","3.14145825","174","3.142061","174","3.1417875","174","3.14131225","174","3.141313","174","3.14167975","174","3.1414515","174","174"
"95","3.14146525","172","3.1422835","172","3.14115125","172","3.14148075","172","3.141404","172","3.14179275","172","3.1418505","172","3.14173875","172","3.1414865","172","172"
"96","3.14151525","171","3.14181","171","3.1419055","171","3.14156475","171","3.1412895","171","3.14170125","171","3.1420215","171","3.14182325","171","3.14082525","171","171"
"97","3.1421715","173","3.14183425","173","3.141874","173","3.14203525","173","3.14023125","173","3.14139775","173","3.140892","173","3.1424265","173","3.141992","173","174"
"98","3.1414645","183","3.1419115","183","3.141863","183","3.14145875","183","3.141329","183","3.14144675","183","3.141458","183","3.141203","183","3.1419605","183","184"
"99","3.14161575","151","3.142083","151","3.14157625","151","3.14191575","151","3.14138875","151","3.1422895","151","3.14130725","151","3.1414075","151","3.14144625","151","176"
"100","3.1419255","173","3.1419125","173","3.14131225","173","3.14125775","173","3.14137925","173","3.141407","173","3.141864","173","3.1412775","173","3.14127725","173","173"
