"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Total Runtime (ms)"
"56","3.14197725","100","3.14114175","100","3.14173825","100","3.141708","100","3.14142375","100","100"
"57","3.14144675","107","3.1415755","107","3.14098475","107","3.14217175","107","3.14159925","107","107"
"58","3.142347","98","3.14179775","98","3.14222","98","3.14122075","98","3.14107225","98","98"
"59","3.1411995","99","3.1415755","99","3.1412395","99","3.141948","99","3.1408145","99","99"
"60","3.1415835","102","3.14123125","102","3.14146225","102","3.14201525","102","3.1411875","102","102"
"61","3.141837","107","3.14230675","107","3.14175025","107","3.141428","107","3.1418935","107","107"
"62","3.141167","100","3.14163025","100","3.14170225","100","3.14215625","100","3.14208825","100","101"
"63","3.14167375","102","3.141996","102","3.1415295","102","3.141301","102","3.14145725","102","102"
"64","3.14218325","101","3.14153975","101","3.141626","101","3.14107675","101","3.14223925","101","101"
"65","3.1412055","101","3.14212525","101","3.14127125","101","3.141609","101","3.14146825","101","101"
"66","3.1418245","101","3.14109175","101","3.14147875","101","3.1417105","101","3.141004","101","101"
"67","3.14156725","103","3.1420585","103","3.1410995","103","3.14136425","103","3.14119725","103","103"
"68","3.14198525","101","3.1410205","101","3.1410735","101","3.14153875","101","3.14067375","101","102"
"69","3.141399","98","3.142024","98","3.14148425","98","3.14111775","98","3.14184025","98","98"
"70","3.14172275","117","3.14180675","117","3.1421925","117","3.1417115","117","3.14183925","117","117"
"71","3.14177375","101","3.1417755","101","3.141697","101","3.1412395","101","3.14108625","101","101"
"72","3.14221675","105","3.141445","105","3.1417925","105","3.14124675","105","3.14159125","105","105"
"73","3.141646","99","3.14206725","99","3.1418145","99","3.14155225","99","3.1412075","99","99"
"74","3.14156375","97","3.141762","97","3.140916","97","3.14196525","97","3.1412485","97","97"
"75","3.14217","100","3.1420555","100","3.14218675","100","3.14173475","100","3.141038","100","100"
"76","3.1416335","103","3.14120275","103","3.14194575","103","3.14161","103","3.141348","103","103"
"77","3.14166425","103","3.14230725","103","3.14214675","103","3.142104","103","3.1414045","103","103"
"78","3.141496","104","3.14118975","104","3.1418455","104","3.14092","104","3.14112925","104","104"
"79","3.14165925","111","3.1415795","111","3.1414755","111","3.14071625","111","3.1416245","111","111"
"80","3.14182925","107","3.1413185","107","3.14143725","107","3.142246","107","3.1415955","107","107"
"81","3.14174275","102","3.141828","102","3.142118","102","3.1416385","102","3.14157375","102","102"
"82","3.14200275","105","3.142458","105","3.141485","105","3.141582","105","3.1417665","105","105"
"83","3.142104","101","3.1408205","101","3.1409035","101","3.14170625","101","3.1409675","101","101"
"84","3.1420075","101","3.1417605","101","3.14213825","101","3.141716","101","3.14235575","101","101"
"85","3.141547","103","3.14137375","103","3.1417985","103","3.14116375","103","3.141196","103","103"
"86","3.14214575","103","3.14166075","103","3.1419155","103","3.14217225","103","3.14196775","103","103"
"87","3.14143425","102","3.1420515","102","3.14146725","102","3.141931","102","3.14087075","102","102"
"88","3.14087925","102","3.14123875","102","3.14128475","102","3.14152425","102","3.14094725","102","102"
"89","3.1414975","101","3.14220825","101","3.14160675","101","3.1414975","101","3.14150275","101","101"
"90","3.1421935","108","3.1411875","108","3.14117725","108","3.14194175","108","3.141276","108","108"
"91","3.14184425","101","3.14141","101","3.14141525","101","3.141676","101","3.14075525","101","101"
"92","3.14103425","99","3.14229175","99","3.141547","99","3.14227225","99","3.14115325","99","99"
"93","3.14173575","98","3.1413985","98","3.14107325","98","3.1414855","98","3.140823","98","98"
"94","3.1417825","97","3.1412835","97","3.14042425","97","3.14171125","97","3.14214275","97","97"
"95","3.1413095","100","3.1420815","100","3.14172175","100","3.141599","100","3.1420715","100","100"
"96","3.14146225","113","3.14196475","113","3.1411605","113","3.1415995","113","3.14098675","113","113"
"97","3.14184575","103","3.14121975","103","3.141457","103","3.14154975","103","3.140975","103","103"
"98","3.14225425","100","3.1415515","100","3.14183425","100","3.1421555","100","3.1414825","100","100"
"99","3.14122625","104","3.1418485","104","3.1414915","104","3.141803","104","3.1415535","104","104"
"100","3.1421545","105","3.14123375","105","3.14139425","105","3.141027","105","3.1418385","105","105"
