"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Total Runtime (ms)"
"44","3.1414345","66","3.1419065","66","3.1413405","66","66"
"45","3.14145925","69","3.14157425","69","3.14177075","69","69"
"46","3.14220975","66","3.14157675","66","3.14140375","66","66"
"47","3.141687","69","3.140804","69","3.14167875","69","69"
"48","3.141582","68","3.14205575","68","3.141188","68","68"
"49","3.1410885","74","3.14162575","74","3.14178875","74","74"
"50","3.1417215","62","3.14170575","62","3.1411695","62","62"
"51","3.14134625","70","3.14175075","70","3.14199025","70","71"
"52","3.14097525","70","3.1414335","70","3.140895","70","70"
"53","3.14137725","62","3.14183125","62","3.141376","62","62"
"54","3.14120025","64","3.14163075","64","3.14084725","64","64"
"55","3.14181375","66","3.14089125","66","3.14178975","66","67"
"56","3.141708","64","3.1415","64","3.14210425","64","64"
"57","3.14120225","61","3.14160525","61","3.14164375","61","61"
"58","3.1416275","65","3.1420535","65","3.141913","65","65"
"59","3.14083375","66","3.14171525","66","3.14144375","66","66"
"60","3.1417475","61","3.14135075","61","3.141757","61","61"
"61","3.1415545","64","3.141617","64","3.141631","64","64"
"62","3.14193175","74","3.14142925","74","3.1418965","74","74"
"63","3.14101","62","3.141724","62","3.14200125","62","62"
"64","3.141542","62","3.14115775","62","3.14119075","62","62"
"65","3.14160425","63","3.14213675","63","3.14146975","63","63"
"66","3.1421205","62","3.14118075","62","3.141821","62","62"
"67","3.1416695","68","3.141518","68","3.14126275","68","68"
"68","3.14164125","69","3.14144275","69","3.1412935","69","70"
"69","3.141404","61","3.14124125","61","3.14085125","61","61"
"70","3.14187725","65","3.1418615","65","3.1415615","65","65"
"71","3.14165025","66","3.1417995","66","3.141521","66","66"
"72","3.14117775","66","3.14200025","66","3.14100075","66","66"
"73","3.14162425","66","3.1422065","66","3.1412815","66","66"
"74","3.14223125","70","3.1416245","70","3.14209375","70","70"
"75","3.14170025","62","3.14115225","62","3.14139375","62","62"
"76","3.14142825","69","3.1413315","69","3.141099","69","69"
"77","3.1416625","63","3.141495","63","3.14158525","63","64"
"78","3.14175425","64","3.14176175","64","3.14167725","64","65"
"79","3.14153575","74","3.14233325","74","3.14148725","74","74"
"80","3.14172875","64","3.14122975","64","3.1417585","64","64"
"81","3.1416185","71","3.14175825","71","3.14190825","71","73"
"82","3.14159275","64","3.1418085","64","3.14229775","64","64"
"83","3.14186475","66","3.14157225","66","3.14194925","66","66"
"84","3.14162725","71","3.14204075","71","3.1414585","71","71"
"85","3.14175725","64","3.141108","64","3.14123475","64","64"
"86","3.1426605","69","3.141083","69","3.14156575","69","70"
"87","3.1416525","66","3.14199875","66","3.141127","66","66"
"88","3.14104525","66","3.1421015","66","3.1411565","66","66"
"89","3.1417175","70","3.14174","70","3.141505","70","70"
"90","3.14060525","67","3.141796","67","3.141028","67","67"
"91","3.1409365","63","3.14172575","63","3.1421505","63","63"
"92","3.1420615","68","3.141786","68","3.1415855","68","68"
"93","3.141702","66","3.14272525","66","3.141486","66","66"
"94","3.14078675","65","3.14187675","65","3.141541","65","65"
"95","3.1420225","65","3.14134425","65","3.14101525","65","65"
"96","3.14157075","68","3.14215275","68","3.14122675","68","68"
"97","3.1411325","65","3.1419105","65","3.14156325","65","65"
"98","3.14167775","61","3.141594","61","3.14224675","61","61"
"99","3.14080125","66","3.1411935","66","3.14113525","66","66"
"100","3.14243275","75","3.14154825","75","3.1420125","75","75"
