"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Total Runtime (ms)"
"26","3.142165","123","3.14183775","123","3.1412895","123","3.1415865","123","3.14132775","123","3.14145025","123","124"
"27","3.14260275","119","3.141404","119","3.141072","119","3.14181775","119","3.14138825","119","3.1410365","119","119"
"28","3.141914","119","3.1416905","119","3.14125675","119","3.1417835","119","3.14135725","119","3.14257525","119","119"
"29","3.141895","116","3.141201","116","3.1423125","116","3.14189325","116","3.1420265","116","3.142125","116","116"
"30","3.14208725","117","3.1425505","117","3.14161225","117","3.14183125","117","3.14178475","117","3.14187475","117","117"
"31","3.141703","116","3.1416225","116","3.14197125","116","3.1419785","116","3.141629","116","3.14143","116","116"
"32","3.14074275","123","3.1417425","123","3.14206675","123","3.14189475","123","3.14211925","123","3.141848","123","123"
"33","3.14157575","121","3.14232525","121","3.1417915","121","3.14183675","121","3.141092","121","3.14157525","121","121"
"34","3.14190525","124","3.141084","124","3.1418695","124","3.14145525","124","3.14180925","124","3.1417245","124","124"
"35","3.14209175","119","3.141422","119","3.14140275","119","3.140692","119","3.14126825","119","3.141874","119","119"
"36","3.1413445","122","3.1415465","122","3.1413745","122","3.142365","122","3.14221875","122","3.14158375","122","122"
"37","3.141296","121","3.1416055","121","3.14105975","121","3.14148325","121","3.14212","121","3.14135575","121","121"
"38","3.141518","123","3.141324","123","3.14179475","123","3.1409485","123","3.1413565","123","3.1412195","123","123"
"39","3.14223625","125","3.141838","125","3.142102","125","3.142231","125","3.140917","125","3.141745","125","125"
"40","3.14134575","117","3.1412205","117","3.14104075","117","3.14159025","117","3.14142825","117","3.141747","117","117"
"41","3.14078825","118","3.14085625","118","3.14107","118","3.1414185","118","3.14186275","118","3.14201475","118","118"
"42","3.14137925","127","3.141367","127","3.14129125","127","3.1412615","127","3.14174","127","3.1412575","127","127"
"43","3.14116875","118","3.14162075","118","3.14097475","118","3.14231275","118","3.14136175","118","3.14151125","118","118"
"44","3.142106","121","3.14112475","121","3.140571","121","3.142194","121","3.1416435","121","3.1424905","121","121"
"45","3.141005","120","3.14105675","120","3.1410295","120","3.142199","120","3.14128675","120","3.140721","120","120"
"46","3.14138225","130","3.14181375","130","3.14165275","130","3.14168625","130","3.1413365","130","3.14159925","130","130"
"47","3.1412845","121","3.141158","121","3.1424185","121","3.14187525","121","3.1412135","121","3.14138525","121","121"
"48","3.14192925","116","3.140685","116","3.14194","116","3.141611","116","3.1412085","116","3.1420435","116","116"
"49","3.14126875","120","3.1414845","120","3.141803","120","3.141776","120","3.14133475","120","3.14149725","120","121"
"50","3.142052","141","3.14186875","141","3.14173625","141","3.141759","141","3.14195925","141","3.14169125","141","141"
"51","3.14134525","119","3.140922","119","3.142805","119","3.141289","119","3.14140975","119","3.142178","119","119"
"52","3.1419805","118","3.14183675","118","3.14106375","118","3.1416245","118","3.14107625","118","3.1423205","118","118"
"53","3.14167425","127","3.141076","127","3.141377","127","3.14171175","127","3.14123375","127","3.14193725","127","127"
"54","3.14125025","119","3.14161775","119","3.1416995","119","3.14198875","119","3.14123275","119","3.141854","119","119"
"55","3.14147875","117","3.141669","117","3.1415605","117","3.14136775","117","3.1413755","117","3.141885","117","117"
"56","3.14108125","119","3.140982","119","3.14217075","119","3.14174425","119","3.14221875","119","3.141678","119","120"
"57","3.1417735","120","3.14146075","120","3.1414955","120","3.141349","120","3.140851","120","3.14188325","120","120"
"58","3.14089875","121","3.14240075","121","3.14141","121","3.141079","121","3.14105925","121","3.14135475","121","121"
"59","3.141188","118","3.141661","118","3.14107625","118","3.14212375","118","3.1415005","118","3.14127575","118","118"
"60","3.141464","125","3.14243925","125","3.14119175","125","3.1416415","125","3.14165675","125","3.141371","125","125"
"61","3.141656","119","3.14188275","119","3.14153075","119","3.1412835","119","3.14146625","119","3.1413115","119","120"
"62","3.14191875","118","3.14135125","118","3.14174675","118","3.14116975","118","3.14222325","118","3.142229","118","118"
"63","3.14143325","115","3.141154","115","3.141207","115","3.14071675","115","3.14122825","115","3.14177225","115","115"
"64","3.1413965","125","3.141901","125","3.14140525","125","3.14185075","125","3.141841","125","3.141001","125","125"
"65","3.141419","117","3.14266475","117","3.141838","117","3.141829","117","3.14122525","117","3.14183675","117","117"
"66","3.142326","123","3.14136525","123","3.14138","123","3.14185275","123","3.140681","123","3.14164675","123","123"
"67","3.142324","131","3.14151325","131","3.14161575","131","3.14191025","131","3.141668","131","3.14214625","131","131"
"68","3.14178375","123","3.1415295","123","3.14135625","123","3.14209975","123","3.14143125","123","3.14149175","123","124"
"69","3.141221","122","3.14179975","122","3.14128075","122","3.14178375","122","3.14191475","122","3.1413975","122","122"
"70","3.14196825","116","3.14091625","116","3.1417705","116","3.14142575","116","3.14056325","116","3.1410525","116","117"
"71","3.14155225","115","3.1420625","115","3.140754","115","3.14126975","115","3.1423575","115","3.1418945","115","116"
"72","3.142311","120","3.14137375","120","3.1415575","120","3.1419985","120","3.14202425","120","3.14208675","120","120"
"73","3.1414425","132","3.141351","132","3.14144475","132","3.14115075","132","3.1419055","132","3.14141975","132","132"
"74","3.14154625","124","3.141339","124","3.14149075","124","3.1404695","124","3.1409745","124","3.1415495","124","124"
"75","3.14126375","118","3.14129325","118","3.14176025","118","3.14108975","118","3.14214725","118","3.14196225","118","118"
"76","3.14199675","123","3.1406995","123","3.1418205","123","3.14189625","123","3.14150175","123","3.1413135","123","123"
"77","3.14135025","119","3.14183125","119","3.14175","119","3.1417705","119","3.14149975","119","3.14205875","119","119"
"78","3.141537","118","3.1416055","118","3.14180225","118","3.14134","118","3.14140925","118","3.14110175","118","118"
"79","3.142045","119","3.141736","119","3.14126875","119","3.1411435","119","3.14197675","119","3.1418765","119","119"
"80","3.14157225","121","3.14126925","121","3.14163075","121","3.141227","121","3.141791","121","3.141717","121","121"
"81","3.14203975","130","3.14194375","130","3.14155625","130","3.14097275","130","3.14194875","130","3.14179275","130","130"
"82","3.1417165","121","3.1418515","121","3.142189","121","3.14088525","121","3.14138675","121","3.1418895","121","121"
"83","3.141471","121","3.1414275","121","3.141759","121","3.14180825","121","3.1417245","121","3.14150525","121","122"
"84","3.14171","122","3.14147","122","3.141119","122","3.14146225","122","3.14104175","122","3.141729","122","122"
"85","3.1409605","122","3.14193725","122","3.14169","122","3.141303","122","3.14162475","122","3.14106775","122","122"
"86","3.14166675","124","3.14143925","124","3.14122825","124","3.14179125","124","3.142036","124","3.1414585","124","124"
"87","3.14064125","128","3.1412985","128","3.14128775","128","3.14071375","128","3.14180975","128","3.140875","128","128"
"88","3.14213025","141","3.141577","141","3.14208575","141","3.14202975","141","3.14160475","141","3.14181175","141","141"
"89","3.141545","130","3.1418995","130","3.14175675","130","3.1416835","130","3.14129375","130","3.142136","130","130"
"90","3.1420235","119","3.141486","119","3.14204725","119","3.14211125","119","3.141604","119","3.14128025","119","119"
"91","3.14133275","123","3.1416415","123","3.1414845","123","3.14163125","123","3.14164075","123","3.14187225","123","123"
"92","3.14224575","119","3.14115075","119","3.140852","119","3.1415495","119","3.1409395","119","3.14179575","119","119"
"93","3.142166","117","3.1422225","117","3.141329","117","3.14204675","117","3.14124175","117","3.141596","117","117"
"94","3.1417475","119","3.14196975","119","3.141673","119","3.14240075","119","3.142546","119","3.14132725","119","119"
"95","3.141642","117","3.14230025","117","3.141373","117","3.14136225","117","3.1416665","117","3.14094875","117","117"
"96","3.14215","137","3.14212575","137","3.14169175","137","3.141791","137","3.14223875","137","3.141684","137","138"
"97","3.14225275","114","3.14199","114","3.14152","114","3.1417025","114","3.1411665","114","3.14188625","114","115"
"98","3.141531","120","3.1414195","120","3.1417945","120","3.1420365","120","3.1414545","120","3.1413605","120","120"
"99","3.141417","119","3.1414675","119","3.14160375","119","3.141455","119","3.141344","119","3.14128875","119","119"
"100","3.14181","119","3.14149775","119","3.14133125","119","3.140871","119","3.141177","119","3.142589","119","119"
