"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Total Runtime (ms)"
"71","3.141415","143","3.14150425","143","3.1422165","143","3.1419575","143","3.141632","143","3.14172575","143","3.14146075","143","143"
"72","3.141676","142","3.1414595","142","3.1413285","142","3.141524","142","3.14270475","142","3.14256125","142","3.14222475","142","142"
"73","3.14129675","135","3.141127","135","3.1416125","135","3.14106325","135","3.14220625","135","3.14114925","135","3.1420465","135","136"
"74","3.14179325","141","3.14207775","141","3.1413055","141","3.14146225","141","3.14146275","141","3.14123675","141","3.14160025","141","141"
"75","3.14109875","135","3.14117275","135","3.14131275","135","3.14201725","135","3.141669","135","3.1418205","135","3.1414965","135","135"
"76","3.141509","146","3.14157675","146","3.1414715","146","3.141652","146","3.14120475","146","3.14217225","146","3.141732","146","147"
"77","3.14204125","140","3.14159175","140","3.141475","140","3.1418715","140","3.1417695","140","3.14197425","140","3.14198425","140","140"
"78","3.1420395","137","3.142212","137","3.1412165","137","3.14184625","137","3.1414825","137","3.14074275","137","3.14106","137","137"
"79","3.14072725","141","3.1415105","141","3.1406605","141","3.142265","141","3.14115225","141","3.14129625","141","3.141469","141","141"
"80","3.142011","139","3.14144975","139","3.14080075","139","3.14194925","139","3.1418","139","3.1411475","139","3.1411725","139","139"
"81","3.1407805","141","3.14140075","141","3.1415175","141","3.141814","141","3.1417995","141","3.1412975","141","3.141771","141","142"
"82","3.141309","140","3.14171575","140","3.14162725","140","3.142034","140","3.142022","140","3.141754","140","3.14166475","140","140"
"83","3.14158425","137","3.14180825","137","3.14210225","137","3.1416615","137","3.14211325","137","3.1416395","137","3.1414765","137","137"
"84","3.1420865","142","3.14173325","142","3.14144675","142","3.14165825","142","3.14131525","142","3.1419425","142","3.1420095","142","142"
"85","3.142035","139","3.14108475","139","3.14115075","139","3.14206225","139","3.1415975","139","3.14184425","139","3.141674","139","139"
"86","3.141749","142","3.142185","142","3.14188325","142","3.1423655","142","3.1406535","142","3.14188275","142","3.141278","142","142"
"87","3.14157525","140","3.14133975","140","3.14138225","140","3.14151325","140","3.14236075","140","3.1415075","140","3.14114475","140","140"
"88","3.14169175","137","3.14187075","137","3.14173075","137","3.141596","137","3.14166475","137","3.14203225","137","3.142311","137","137"
"89","3.14179975","144","3.141628","144","3.14178475","144","3.14212575","144","3.1421165","144","3.14076175","144","3.1422805","144","144"
"90","3.14173375","135","3.140581","135","3.1414535","135","3.1416425","135","3.141464","135","3.141609","135","3.1416045","135","136"
"91","3.1415335","135","3.1423905","135","3.1421385","135","3.14097125","135","3.14195775","135","3.141577","135","3.1410115","135","135"
"92","3.1416785","143","3.14097125","143","3.1415745","143","3.1407595","143","3.14122975","143","3.14165125","143","3.1415475","143","143"
"93","3.14175375","142","3.1414995","142","3.14137675","142","3.141367","142","3.141439","142","3.14066675","142","3.1419315","142","142"
"94","3.141193","143","3.14123025","143","3.14164425","143","3.14212625","143","3.14138725","143","3.141189","143","3.14174775","143","143"
"95","3.141459","114","3.14151825","114","3.1419215","114","3.1409595","114","3.14163925","114","3.14226575","114","3.142002","114","139"
"96","3.141214","138","3.1415115","138","3.14223325","138","3.14148475","138","3.14152325","138","3.14168875","138","3.141879","138","138"
"97","3.14104275","139","3.14198","139","3.14183","139","3.141736","139","3.14201725","139","3.14093525","139","3.1411295","139","139"
"98","3.1416925","137","3.1420225","137","3.1419005","137","3.1417175","137","3.1419875","137","3.14201575","137","3.14227375","137","137"
"99","3.14205175","137","3.14145325","137","3.141467","137","3.14187975","137","3.14087275","137","3.141625","137","3.14142125","137","137"
"100","3.14203825","139","3.1415475","139","3.14109625","139","3.141484","139","3.141737","139","3.14066825","139","3.14191775","139","139"
