"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"70","3.14207375","98","3.141402","104","3.14160775","101","3.14276825","98","3.1418035","99","3.1419310499999997","100","104"
"71","3.14148375","93","3.14194275","99","3.141444","97","3.14146275","95","3.14151875","96","3.1415704","96","99"
"72","3.14109575","94","3.14088775","95","3.142122","98","3.14170375","93","3.14235375","95","3.1416326","95","98"
"73","3.1413125","98","3.14113575","97","3.1416355","97","3.14124975","99","3.14152775","101","3.14137225","98","101"
"74","3.14134225","70","3.1411925","85","3.14089275","90","3.1421835","95","3.1420385","100","3.1415298999999997","88","101"
"75","3.141591","99","3.14239425","99","3.14132925","99","3.1418615","105","3.141076","100","3.1416504","100","105"
"76","3.1412535","97","3.141848","94","3.14146","98","3.142189","99","3.14149525","96","3.14164915","96","99"
"77","3.1416405","73","3.1421835","101","3.14187","99","3.141268","95","3.14143575","93","3.14167955","92","101"
"78","3.14170125","93","3.1417065","93","3.14158675","99","3.1414685","101","3.14149925","96","3.14159245","96","101"
"79","3.141498","96","3.1408765","107","3.14113475","97","3.14161975","106","3.14118375","101","3.1412625499999995","101","107"
"80","3.140708","97","3.14149125","91","3.14205525","100","3.1414635","98","3.1416585","97","3.1414753","96","100"
"81","3.1408955","96","3.1416535","95","3.141613","98","3.14200675","97","3.14171575","97","3.1415768999999996","96","98"
"82","3.14207325","93","3.14108925","92","3.14167475","99","3.14197775","99","3.14072225","100","3.1415074499999998","96","100"
"83","3.1414755","108","3.14102275","101","3.141858","102","3.14213","105","3.1425705","110","3.14181135","105","110"
"84","3.14147475","93","3.1406965","98","3.14130575","95","3.14213475","92","3.14216825","98","3.141556","95","98"
"85","3.14204125","100","3.141043","98","3.14166325","100","3.14135175","100","3.14204875","92","3.1416296000000004","98","100"
"86","3.1417925","98","3.14152575","98","3.14136625","89","3.14210525","99","3.14093525","96","3.1415450000000003","96","99"
"87","3.1422095","98","3.14171675","98","3.1415715","97","3.141826","99","3.141791","100","3.14182295","98","100"
"88","3.142293","109","3.14124275","112","3.14194625","109","3.141572","113","3.14164525","112","3.14173985","111","113"
"89","3.14147575","103","3.141937","99","3.14139425","104","3.1423385","103","3.14178675","102","3.1417864499999997","102","104"
"90","3.1409215","88","3.1423515","97","3.14202125","97","3.142555","101","3.14132275","97","3.1418344","96","101"
"91","3.1416175","101","3.14159025","116","3.1413195","101","3.1415975","101","3.141609","116","3.14154675","107","116"
"92","3.141368","92","3.141006","103","3.14174175","93","3.1417935","92","3.140946","99","3.14137105","95","103"
"93","3.1413595","98","3.1423125","104","3.14128175","95","3.14103125","96","3.14166325","97","3.1415296500000003","98","104"
"94","3.14152875","96","3.141468","99","3.141144","99","3.1418525","102","3.14181525","99","3.1415617000000005","99","102"
"95","3.14129075","92","3.14169025","92","3.142182","98","3.141163","97","3.14143675","95","3.14155255","94","98"
"96","3.14157975","103","3.1420065","106","3.141987","98","3.14162675","98","3.14167825","102","3.14177565","101","106"
"97","3.14177525","105","3.1416465","105","3.14164925","110","3.141703","102","3.1413555","114","3.1416258999999997","107","114"
"98","3.14113275","95","3.14162675","98","3.14157175","98","3.1412585","103","3.141541","107","3.14142615","100","107"
"99","3.1414515","93","3.1415235","98","3.14161675","95","3.14136125","101","3.14136325","99","3.14146325","97","101"
"100","3.14175925","96","3.1420265","107","3.14187025","106","3.141903","105","3.14166125","104","3.14184405","103","107"
"Averages","3.141538395","96","3.1415422674999984","98","3.141666322500002","100","3.1416745925000003","100","3.1416171475000003","101","3.1416077449999977","99","104"
