"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"53","3.1411015","265","3.14136","265","3.14177725","273","3.141212","254","3.141461","258","3.14208425","257","3.14174325","270","3.1419375","271","3.14204275","271","3.14199375","254","3.14192525","244","3.1414385","261","3.14147625","270","3.14208425","254","3.141688392857143","261","273"
"54","3.14137225","134","3.14152275","134","3.14158975","197","3.14193425","197","3.14210025","262","3.1414345","253","3.14131275","267","3.14145125","257","3.14158","265","3.141254","265","3.14155","262","3.141706","253","3.14128","262","3.14136","257","3.1415319821428573","233","267"
"55","3.14240725","258","3.14112225","266","3.14179725","252","3.1409815","265","3.14125175","252","3.1418155","262","3.1418595","255","3.1415535","262","3.14134775","258","3.1409305","252","3.14142825","265","3.1416225","249","3.1420665","249","3.14233825","242","3.1416087321428567","256","266"
"56","3.1412755","143","3.14082525","206","3.1416415","257","3.141062","262","3.142242","266","3.14185925","259","3.14157025","246","3.14141925","262","3.14186825","259","3.14247975","246","3.14233275","246","3.14122575","255","3.14059575","261","3.1408015","256","3.1415141964285715","244","267"
"57","3.14180325","263","3.14133625","262","3.141298","270","3.141198","262","3.1420735","263","3.142013","262","3.14121","263","3.141725","271","3.1412715","262","3.141491","271","3.1422555","269","3.14180125","262","3.1416115","262","3.1410065","262","3.141578160714286","264","271"
"58","3.14112575","204","3.141976","221","3.14190425","241","3.141637","251","3.1416335","251","3.14215575","248","3.14133325","263","3.1411845","265","3.14115925","262","3.1415615","261","3.14178175","252","3.14087025","265","3.1419215","261","3.14107825","251","3.141523035714286","249","265"
"59","3.14180225","206","3.1410265","253","3.14168575","242","3.14126975","249","3.14156875","265","3.141905","267","3.1414445","261","3.14171725","267","3.141642","267","3.1417075","253","3.14181475","252","3.141511","249","3.1413055","261","3.14208725","253","3.141606267857143","253","267"
"60","3.141645","267","3.141313","256","3.142461","256","3.14151775","267","3.1416995","268","3.1413995","263","3.141342","251","3.14119075","268","3.14119175","268","3.141759","265","3.14180825","256","3.142398","254","3.14186675","256","3.14162775","263","3.141658571428571","261","268"
"61","3.1418645","270","3.14083075","259","3.1419735","232","3.14197575","252","3.14199625","258","3.14113","271","3.141381","258","3.1410035","262","3.14179075","264","3.14099375","262","3.140951","271","3.141764","259","3.1417585","271","3.1418875","266","3.1415214821428576","261","271"
"62","3.1408285","262","3.14150275","261","3.14127775","267","3.14209325","263","3.14144","247","3.14150325","257","3.14174575","260","3.1409395","262","3.1418345","262","3.1412215","263","3.1417175","257","3.14143475","265","3.1410295","269","3.14101375","257","3.1413987321428576","260","270"
