"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"11","3.1416325","155","3.1412745","155","3.1414535","167","3.1416305","170","3.14171225","166","3.141456","171","3.1412565","163","3.1415675","165","3.1411555","167","3.141459861111111","164","171"
"12","3.1418035","156","3.14118775","169","3.14132575","173","3.1421405","162","3.141159","174","3.1416975","176","3.142043","163","3.14196","174","3.14175625","175","3.1416748055555557","169","176"
"13","3.1418235","177","3.1412235","173","3.14219925","173","3.14107","173","3.14230275","179","3.141898","175","3.14214525","179","3.14151975","173","3.141252","175","3.141714888888889","175","179"
"14","3.14129625","168","3.1415885","164","3.142334","171","3.14167425","168","3.14100325","164","3.1413915","171","3.142436","171","3.141663","163","3.142156","172","3.141726972222222","168","172"
"15","3.14131225","167","3.1413675","164","3.14130175","164","3.141607","173","3.14186425","161","3.14109425","173","3.14112625","160","3.141489","173","3.14134025","166","3.1413891666666665","166","173"
"16","3.14185475","170","3.141457","170","3.14210725","159","3.141483","165","3.14196925","174","3.14169225","170","3.142107","175","3.14138375","170","3.141359","159","3.1417125833333333","168","175"
"17","3.141865","176","3.14121925","173","3.14164175","165","3.14112425","165","3.1412875","158","3.14102625","169","3.14139175","165","3.14159525","169","3.141457","167","3.141400888888889","167","176"
"18","3.14125425","166","3.14221275","165","3.141946","169","3.14202425","166","3.1416845","174","3.141557","173","3.1422795","179","3.1413715","174","3.1417255","178","3.1417839166666663","171","179"
"19","3.14180125","178","3.14159475","173","3.1415385","173","3.1422435","179","3.14097775","173","3.14215525","173","3.14074525","179","3.141439","173","3.14149725","173","3.141554722222222","174","179"
"20","3.14152075","117","3.1408295","161","3.141096","161","3.14185725","170","3.14162025","175","3.142454","161","3.1415065","175","3.14271175","171","3.14147275","172","3.141674305555556","162","176"
"21","3.141981","172","3.14125575","169","3.1413975","174","3.1415395","150","3.14125675","168","3.141894","164","3.14127425","156","3.1416785","176","3.14206925","172","3.1415940555555557","166","176"
"22","3.141194","168","3.141611","173","3.14164125","152","3.141792","163","3.14130275","172","3.14220925","164","3.14207275","167","3.1411465","163","3.14182","169","3.141643277777778","165","173"
"23","3.1424805","157","3.14209675","167","3.1419565","165","3.14203375","167","3.1409075","168","3.14182725","169","3.14115675","171","3.1416525","157","3.14173525","169","3.14176075","165","172"
"24","3.141131","173","3.1411655","171","3.1416185","166","3.14264675","171","3.14097175","160","3.14224475","161","3.14165125","171","3.1414395","174","3.1414075","173","3.141586277777778","168","174"
"25","3.141316","139","3.14124075","155","3.1409915","160","3.14204675","160","3.14179625","175","3.142453","174","3.1409245","174","3.141126","174","3.14133875","174","3.141470388888889","165","175"
"26","3.141225","173","3.14161075","173","3.1416995","170","3.1413655","171","3.1414535","167","3.1419535","173","3.14158125","167","3.14106825","167","3.1411595","171","3.141457416666667","170","173"
"27","3.141958","168","3.142267","170","3.14164225","164","3.14170525","165","3.14062125","164","3.14181375","159","3.14182625","170","3.1410765","168","3.14164875","164","3.141617666666667","165","170"
"28","3.14152175","162","3.1404915","171","3.141696","169","3.1415985","168","3.1414","162","3.14148675","170","3.14135825","170","3.141819","166","3.14143275","162","3.141422722222222","166","171"
"29","3.14178275","161","3.141813","161","3.14220525","143","3.14239425","169","3.141593","177","3.1404735","171","3.141631","169","3.141355","177","3.14180675","176","3.1416727222222227","167","177"
"30","3.141593","106","3.14160375","166","3.14193425","166","3.1416995","159","3.141059","173","3.14148775","180","3.14178875","177","3.140888","181","3.1414715","184","3.1415028333333335","165","184"
"31","3.14117275","152","3.14165775","165","3.14099825","173","3.142475","169","3.142677","161","3.14195775","167","3.1417505","168","3.142205","173","3.1412805","172","3.1417971666666666","166","174"
"32","3.1412325","164","3.142059","161","3.142068","171","3.14208875","171","3.14205","167","3.14173175","171","3.141588","174","3.14204325","175","3.141361","171","3.1418024722222224","169","175"
"33","3.1416815","125","3.14143075","148","3.1417635","177","3.1410485","170","3.14199925","172","3.1409755","171","3.140713","172","3.1414915","170","3.14104425","170","3.1413497500000003","163","177"
"34","3.14142425","164","3.14092175","166","3.14160675","173","3.14193275","165","3.14116025","171","3.14132825","166","3.14180325","165","3.14106725","173","3.14111","167","3.141372722222222","167","173"
