"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"71","3.14133875","122","3.1417255","246","3.1414","235","3.141372","246","3.14139925","261","3.1418345","202","3.1420635","217","3.14189675","218","3.14170925","202","3.141303","206","3.14154925","213","3.14164375","203","3.14128475","213","3.14157848076923","214","261"
"72","3.14125675","239","3.14157825","250","3.14215275","251","3.14142575","251","3.14161025","231","3.14153675","224","3.14157075","247","3.14137175","240","3.14143125","233","3.14129375","231","3.141716","250","3.142128","250","3.14128375","247","3.141565826923077","241","251"
"73","3.1420475","257","3.14253375","257","3.14145425","242","3.141473","242","3.1412535","244","3.14171925","241","3.1416305","241","3.1415015","242","3.142165","242","3.141448","242","3.14138525","257","3.14124","257","3.1418525","257","3.141669538461539","247","258"
"74","3.141565","244","3.14226075","240","3.1418045","251","3.1415295","242","3.14145825","242","3.14077925","243","3.1416865","240","3.14132675","247","3.14167375","244","3.14141575","237","3.14158975","242","3.14168275","245","3.1421595","231","3.141610153846154","242","251"
"75","3.14126025","246","3.1413305","244","3.1415235","245","3.141757","246","3.1418355","245","3.141739","245","3.141836","245","3.14196375","244","3.14200175","245","3.14125475","245","3.14139175","247","3.14141025","241","3.14161225","239","3.141608942307692","244","248"
"76","3.14180075","239","3.1413695","236","3.1412615","235","3.14164975","243","3.141092","240","3.141692","240","3.14190225","239","3.14202075","244","3.14127825","245","3.142232","238","3.141542","239","3.14154525","243","3.1416095","242","3.1416150384615382","240","245"
"77","3.14137725","249","3.14123325","248","3.14149175","249","3.14224675","249","3.14172075","248","3.14243425","248","3.14152825","248","3.14149975","251","3.14184625","248","3.14153675","251","3.1416485","251","3.14182875","248","3.142326","251","3.141747557692308","249","252"
"78","3.14225425","241","3.14204","228","3.14160675","230","3.14152625","240","3.14223575","253","3.14144925","252","3.140855","243","3.14214275","255","3.1412955","253","3.14163375","253","3.14109","239","3.14125","239","3.14174575","255","3.1416250000000003","244","255"
"79","3.14251875","251","3.1414715","251","3.14180175","254","3.1413045","249","3.141811","254","3.14150425","254","3.14151775","254","3.141454","254","3.14196525","254","3.142082","250","3.141382","250","3.141616","254","3.14146475","249","3.1416841153846153","252","256"
"80","3.141781","151","3.14149375","251","3.142582","251","3.1412595","241","3.141892","242","3.1421195","247","3.14119525","245","3.141314","245","3.14183325","251","3.1416675","243","3.1416325","242","3.1414025","251","3.141732","242","3.1416849807692313","238","251"
"81","3.141598","245","3.14132125","245","3.14182825","255","3.14169775","247","3.1419425","245","3.14179425","248","3.1416855","247","3.1414105","245","3.14088","250","3.14138","249","3.1415015","245","3.1420745","246","3.14146975","247","3.141583365384615","247","255"
"82","3.14197475","248","3.141787","250","3.14157075","252","3.1422005","254","3.14116425","227","3.14118125","253","3.1423965","244","3.14140225","246","3.1415765","254","3.141263","221","3.14108675","248","3.140929","246","3.1415125","244","3.1415419230769226","245","254"
"83","3.1418725","248","3.14199375","249","3.14147025","246","3.14164925","262","3.14136525","262","3.14121775","247","3.1413385","247","3.1420445","244","3.14126825","244","3.14113475","247","3.142061","247","3.1417345","246","3.142248","244","3.141646019230769","248","262"
"84","3.14076375","250","3.14177625","250","3.14232575","250","3.141374","250","3.140879","250","3.14204725","251","3.14180525","249","3.14169375","250","3.1415655","253","3.141305","251","3.14116725","250","3.141189","249","3.14126175","250","3.1414733461538455","250","253"
"85","3.142068","259","3.14170425","257","3.14169325","250","3.141406","259","3.141294","250","3.1415375","260","3.14192025","250","3.14153425","255","3.140813","262","3.141246","252","3.1419495","259","3.1411245","254","3.14135325","262","3.1415110576923078","256","262"
"86","3.14100775","238","3.141641","248","3.14211625","243","3.14075375","238","3.1412285","243","3.14149125","243","3.141645","238","3.1411145","249","3.14117325","241","3.1411235","238","3.14186","245","3.1418785","238","3.14135075","246","3.1414141538461537","242","249"
"87","3.1419715","227","3.1413485","251","3.1407085","224","3.1421275","251","3.14174675","234","3.14241175","250","3.14148975","243","3.14143775","239","3.1414525","243","3.141908","251","3.1422005","249","3.14107375","234","3.14165725","245","3.141656461538462","241","252"
"88","3.140955","248","3.14133225","248","3.141516","232","3.14192875","247","3.140835","250","3.142374","231","3.1417145","249","3.14096325","241","3.1409845","248","3.14142375","251","3.1417775","241","3.14184525","232","3.14136725","235","3.141462846153846","242","251"
"89","3.14152225","212","3.14179875","277","3.14204475","273","3.14249","268","3.1423405","262","3.141848","262","3.141082","266","3.1415095","268","3.14111025","275","3.1418155","269","3.14113125","262","3.14211975","263","3.1421115","278","3.141763384615385","264","278"
"90","3.1419","165","3.141516","224","3.14157875","224","3.14201525","240","3.1424155","223","3.14223675","243","3.14208875","245","3.1417155","243","3.14179925","246","3.1415815","246","3.14130425","240","3.14202725","245","3.14086075","244","3.141772269230769","232","246"
"91","3.141666","233","3.14123675","232","3.1410425","236","3.14153675","235","3.142115","246","3.14149175","242","3.141972","251","3.14219825","235","3.1414955","249","3.14022225","249","3.14179625","249","3.1414465","232","3.141506","246","3.1415173461538464","241","251"
