"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"34","3.141319","100","3.141184","111","3.14188775","111","3.14129825","96","3.14169275","111","3.14147635","105","111"
"35","3.141417","96","3.1415515","96","3.1405755","97","3.14089075","96","3.14147975","94","3.1411829","95","97"
"36","3.1423415","98","3.14140925","98","3.14172675","98","3.14188375","100","3.14137325","99","3.1417469","98","101"
"37","3.1418535","97","3.141571","107","3.14161","111","3.1414285","111","3.1412885","111","3.1415502999999996","107","113"
"38","3.141892","101","3.1417205","99","3.14131175","101","3.1414935","103","3.14163025","101","3.1416096","101","103"
"39","3.14117775","99","3.141266","115","3.1418905","102","3.14184325","113","3.141567","113","3.1415489000000005","108","115"
"40","3.14212","97","3.14125275","96","3.14185875","100","3.14130125","97","3.1416675","97","3.14164005","97","100"
"41","3.1415175","97","3.141709","103","3.14172325","95","3.142004","98","3.1421045","97","3.14181165","98","103"
"42","3.14158825","101","3.14196425","101","3.14192925","101","3.14185825","101","3.141036","101","3.1416752","101","101"
"43","3.14197425","95","3.1419165","96","3.141335","102","3.14110025","96","3.1407135","95","3.1414079","96","102"
"44","3.14119125","102","3.141364","102","3.141006","103","3.1409085","104","3.14163275","101","3.1412204999999997","102","104"
"45","3.14205425","104","3.14111225","104","3.14124175","104","3.1414215","104","3.1410555","106","3.14137705","104","106"
"46","3.1414125","95","3.14098025","97","3.14136575","102","3.1426345","98","3.14128425","95","3.14153545","97","103"
"47","3.14207575","110","3.140997","109","3.14112675","108","3.14230075","109","3.14135925","109","3.1415719","109","111"
"48","3.14181225","96","3.141534","99","3.141832","110","3.14172275","96","3.140703","99","3.1415208","100","110"
"49","3.14104875","117","3.14213875","109","3.14163275","100","3.14148975","102","3.14070125","103","3.14140225","106","117"
"50","3.141721","99","3.1418935","102","3.14262525","96","3.142208","96","3.14127175","95","3.1419439000000002","97","102"
"51","3.14194175","101","3.142113","102","3.1417675","100","3.1414775","100","3.14141575","103","3.1417431000000002","101","103"
"52","3.142058","99","3.14148525","99","3.14166775","100","3.14187525","101","3.14202775","100","3.1418228000000004","99","101"
"53","3.14144675","97","3.141582","95","3.14157","95","3.14119325","104","3.1416975","99","3.1414979","98","104"
"54","3.14171975","101","3.141232","110","3.1412155","100","3.14126375","104","3.141722","107","3.1414306","104","110"
"55","3.141749","113","3.14112675","109","3.14106475","113","3.14128675","109","3.14161925","113","3.1413693","111","113"
"56","3.14216325","100","3.141365","101","3.141518","97","3.14177425","99","3.14203825","96","3.1417717499999998","98","101"
"57","3.1416425","99","3.1416455","104","3.14218375","104","3.141739","102","3.141286","103","3.1416993499999997","102","104"
"58","3.14256825","106","3.14136375","103","3.1415105","103","3.1419015","106","3.14092","108","3.1416527999999997","105","108"
"59","3.1411625","95","3.14195575","103","3.1416405","91","3.14137225","104","3.14165475","101","3.1415571499999997","98","104"
"60","3.14196875","100","3.14170725","94","3.141637","100","3.1404665","103","3.14192975","100","3.1415418500000003","99","103"
"61","3.141988","100","3.141913","100","3.14177275","100","3.1422785","99","3.141649","98","3.1419202499999996","99","100"
"62","3.1420865","102","3.140954","94","3.14176875","107","3.141624","102","3.141434","99","3.14157345","100","107"
"63","3.141401","97","3.1422165","96","3.14130725","100","3.141641","100","3.14158275","102","3.1416297","99","102"
"64","3.141587","99","3.14176","99","3.14203025","102","3.142085","99","3.141343","95","3.1417610500000004","98","102"
"65","3.141759","112","3.14175925","99","3.1415605","105","3.14139325","112","3.14221275","99","3.1417369500000003","105","112"
"66","3.14153475","104","3.141568","101","3.14169475","98","3.1418705","104","3.141385","97","3.1416106","100","104"
"67","3.14266725","97","3.1423265","97","3.14217425","85","3.141365","95","3.1416795","97","3.1420425","94","97"
"68","3.14155975","99","3.14147","99","3.14096925","94","3.14192175","97","3.1411355","98","3.14141125","97","99"
"69","3.141774","94","3.1424165","100","3.14175325","96","3.1412035","102","3.1415685","102","3.1417431499999995","98","102"
"70","3.14240675","93","3.142138","96","3.14118275","93","3.14169225","99","3.141608","94","3.14180555","95","99"
"71","3.14160425","98","3.14099125","101","3.14205225","94","3.14153175","96","3.1411735","95","3.1414705999999994","96","101"
"72","3.14143675","104","3.14194575","102","3.141085","102","3.1420605","105","3.141184","104","3.1415424","103","105"
"73","3.14173825","97","3.1418955","98","3.14236275","100","3.141418","100","3.1410475","97","3.1416924","98","100"
"74","3.141957","99","3.140826","99","3.1413265","99","3.14150075","96","3.14075175","100","3.1412724","98","100"
"75","3.14113875","116","3.1428545","116","3.141726","116","3.1410735","101","3.141484","116","3.14165535","113","116"
"76","3.1415315","100","3.14140425","96","3.141879","94","3.1412695","99","3.14131175","96","3.1414792","97","100"
"77","3.14119775","99","3.14185975","97","3.14108275","97","3.140914","100","3.14114275","100","3.1412394000000003","98","100"
"78","3.14155625","96","3.1419805","97","3.14163775","96","3.14206625","96","3.140988","103","3.14164575","97","104"
"79","3.14190075","97","3.1417305","100","3.14099825","98","3.14113225","98","3.14110975","102","3.1413743","99","102"
"80","3.14156175","100","3.14180625","100","3.14242025","103","3.1416025","105","3.1413815","102","3.1417544499999996","102","105"
"81","3.14173375","99","3.14159325","95","3.1416855","96","3.14145075","97","3.14165725","96","3.1416241","96","99"
"82","3.14157375","102","3.14167675","95","3.14153975","101","3.141202","96","3.1411975","102","3.14143795","99","102"
"83","3.1418335","96","3.1418585","100","3.14150625","102","3.141837","98","3.1414355","105","3.14169415","100","105"
"84","3.14197725","99","3.1410635","106","3.1419085","106","3.14083475","103","3.142191","104","3.1415949999999997","103","106"
"85","3.14183275","97","3.14099725","99","3.142302","102","3.141776","99","3.14165425","97","3.14171245","98","102"
"86","3.14193075","111","3.14097025","111","3.14191975","97","3.14161625","111","3.14153575","97","3.1415945499999998","105","111"
"87","3.14137825","100","3.14158075","107","3.141217","104","3.14171725","100","3.14225175","102","3.1416289999999996","102","107"
"88","3.14138625","104","3.14269775","108","3.1406885","104","3.14152275","103","3.141633","101","3.14158565","104","108"
"89","3.142489","113","3.141751","97","3.14220875","111","3.14177675","116","3.14178125","94","3.14200135","106","116"
"90","3.141324","97","3.14239375","95","3.14142475","95","3.1419475","95","3.14153575","97","3.14172515","95","98"
"91","3.1414425","97","3.14231475","97","3.14137025","99","3.14214975","96","3.1426015","98","3.14197575","97","99"
"92","3.14132825","99","3.1409715","99","3.141794","104","3.1406895","104","3.141883","102","3.14133325","101","104"
"93","3.14106","101","3.14129525","97","3.14191325","98","3.141477","102","3.141504","95","3.1414499","98","102"
"94","3.1417075","98","3.14132225","113","3.14139725","98","3.141746","113","3.14120325","113","3.14147525","107","113"
"95","3.141202","100","3.14266175","104","3.141328","102","3.1414745","101","3.1416385","112","3.14166095","103","112"
"96","3.14142675","98","3.14235725","98","3.14161075","103","3.14217025","103","3.14139","96","3.1417909999999996","99","103"
"97","3.14160875","101","3.141171","103","3.1418915","98","3.14168825","100","3.14227275","99","3.1417264499999997","100","103"
"98","3.14113975","100","3.14135625","96","3.14136475","100","3.14182075","101","3.1423785","101","3.141612","99","102"
"99","3.14181375","108","3.14166875","104","3.14142525","100","3.1412055","95","3.141984","109","3.1416194499999994","103","110"
"100","3.14099375","100","3.1416825","93","3.14070875","114","3.14250325","97","3.14171825","114","3.1415213","103","114"
"Averages","3.1416523499999998","100","3.1416880374999994","101","3.1415709175000006","101","3.141583790000002","101","3.141557472500001","101","3.1416105135000008","100","105"
