"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"43","3.14133825","41","3.141854","52","3.141596125","46","52"
"44","3.14205775","48","3.1418415","40","3.141949625","44","48"
"45","3.1410415","41","3.14128275","49","3.141162125","45","49"
"46","3.14191975","41","3.14167975","49","3.14179975","45","49"
"47","3.14176875","48","3.141454","51","3.141611375","49","51"
"48","3.14148025","50","3.1413595","51","3.141419875","50","51"
"49","3.1416375","46","3.14213825","50","3.141887875","48","50"
"50","3.141565","48","3.1416115","48","3.14158825","48","49"
"51","3.14087075","47","3.14163175","51","3.14125125","49","51"
"52","3.14169875","55","3.1414725","54","3.1415856250000003","54","55"
"53","3.14164875","42","3.14121775","46","3.14143325","44","46"
"54","3.14161025","50","3.14207925","46","3.1418447499999997","48","50"
"55","3.142099","37","3.141811","42","3.1419550000000003","39","42"
"56","3.14222675","36","3.14100475","50","3.1416157499999997","43","50"
"57","3.1419995","50","3.14187675","50","3.1419381250000002","50","50"
"58","3.14188975","51","3.14182975","51","3.14185975","51","51"
"59","3.142296","49","3.1413815","57","3.14183875","53","57"
"60","3.14079925","49","3.14124025","59","3.14101975","54","59"
"61","3.14167025","45","3.140815","48","3.1412426250000003","46","48"
"62","3.14151175","41","3.141157","46","3.141334375","43","46"
"63","3.14117475","43","3.14182625","50","3.1415005","46","50"
"64","3.14156475","38","3.141852","44","3.1417083750000003","41","44"
"65","3.1416655","37","3.14187925","44","3.1417723750000004","40","44"
"66","3.1419405","43","3.14142675","46","3.1416836249999998","44","46"
"67","3.14176875","39","3.1410785","44","3.141423625","41","45"
"68","3.141457","43","3.14173425","52","3.141595625","47","52"
"69","3.14176725","43","3.1416425","42","3.1417048750000003","42","43"
"70","3.1410355","42","3.1420575","45","3.1415465","43","45"
"71","3.14167325","51","3.14117775","54","3.1414255000000004","52","54"
"72","3.14196675","39","3.141928","46","3.141947375","42","46"
"73","3.14137775","47","3.1413495","50","3.1413636250000003","48","50"
"74","3.14108725","52","3.14162875","53","3.1413580000000003","52","54"
"75","3.14167925","46","3.14143025","46","3.14155475","46","46"
"76","3.14124","49","3.14199775","48","3.141618875","48","49"
"77","3.14147","42","3.1425715","49","3.14202075","45","50"
"78","3.141983","41","3.1406735","50","3.14132825","45","50"
"79","3.1407705","62","3.142217","69","3.14149375","65","70"
"80","3.14120725","50","3.1411095","54","3.141158375","52","55"
"81","3.142265","40","3.142057","52","3.1421609999999998","46","52"
"82","3.141265","50","3.1410665","52","3.14116575","51","52"
"83","3.14159825","48","3.14117575","54","3.141387","51","54"
"84","3.14182825","44","3.14066975","50","3.141249","47","50"
"85","3.1418745","41","3.14243575","52","3.1421551250000004","46","52"
"86","3.141455","40","3.14165975","50","3.141557375","45","50"
"87","3.14174925","37","3.1413345","45","3.141541875","41","45"
"88","3.14118025","66","3.14129525","60","3.14123775","63","66"
"89","3.14136275","41","3.14213975","51","3.14175125","46","51"
"90","3.141642","49","3.1419205","52","3.14178125","50","52"
"91","3.1416065","50","3.14245025","45","3.1420283749999998","47","50"
"92","3.1419325","40","3.14183575","48","3.141884125","44","48"
"93","3.14171875","46","3.14131225","51","3.1415154999999997","48","51"
"94","3.141141","36","3.141706","53","3.1414235","44","54"
"95","3.14148775","50","3.14264975","52","3.14206875","51","52"
"96","3.14144825","44","3.1420845","51","3.141766375","47","51"
"97","3.14174725","45","3.14198775","56","3.1418675","50","56"
"98","3.1416075","49","3.1410505","51","3.141329","50","51"
"99","3.14146175","44","3.14170525","49","3.1415835","46","49"
"100","3.141658","50","3.141378","49","3.141518","49","50"
"Averages","3.1415805600000004","46","3.1415776149999988","50","3.1415790875000003","48","51"
