"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"50","3.14145275","87","3.1426225","86","3.14220825","86","3.14106275","87","3.1418365625","86","87"
"51","3.141288","86","3.14108825","88","3.14188325","81","3.141947","86","3.141551625","85","88"
"52","3.141573","98","3.14101675","98","3.14171375","84","3.14022075","95","3.1411310625000004","93","99"
"53","3.141921","62","3.14157675","84","3.14153775","81","3.1416975","84","3.14168325","77","84"
"54","3.141747","80","3.141092","79","3.1413065","79","3.14043925","77","3.1411461875","78","80"
"55","3.1407735","81","3.14154225","79","3.14149125","86","3.141276","86","3.14127075","83","86"
"56","3.14120375","88","3.14196","92","3.141349","92","3.1420245","93","3.1416343125","91","93"
"57","3.14185625","77","3.14185525","79","3.141235","82","3.141486","88","3.1416081250000003","81","88"
"58","3.14166625","82","3.142057","78","3.1412415","78","3.1414505","84","3.1416038124999996","80","84"
"59","3.14137575","72","3.1418655","74","3.1415135","77","3.141539","86","3.1415734375","77","86"
"60","3.142019","90","3.142037","95","3.1420395","101","3.14179125","94","3.1419716875","95","101"
"61","3.141065","84","3.1419005","78","3.1417535","78","3.14212325","82","3.1417105625","80","84"
"62","3.141996","73","3.14138375","79","3.14181375","82","3.14038575","85","3.1413948124999997","79","85"
"63","3.14128525","89","3.141628","89","3.14186225","84","3.141984","81","3.141689875","85","89"
"64","3.1419595","77","3.142212","78","3.142185","91","3.141798","90","3.1420386249999996","84","91"
"65","3.1413705","73","3.14192","82","3.141988","73","3.14208375","77","3.1418405624999997","76","82"
"66","3.142351","87","3.14162075","78","3.14204075","84","3.14152475","81","3.1418843125","82","87"
"67","3.1419","77","3.1416625","77","3.14162475","78","3.141739","80","3.1417315625","78","80"
"68","3.14150875","88","3.14154","93","3.1410915","93","3.14129075","98","3.14135775","93","98"
"69","3.1415765","79","3.1421915","79","3.14218825","82","3.141847","79","3.1419508125","79","82"
"70","3.14175075","61","3.1414785","80","3.14082825","80","3.14122475","89","3.1413205625","77","89"
"71","3.14254175","72","3.14153125","79","3.14154025","84","3.1418055","76","3.1418546875","77","84"
"72","3.14180825","95","3.1424365","96","3.14136","93","3.1411785","95","3.1416958125","94","96"
"73","3.1421465","78","3.14158325","84","3.14160025","86","3.14105","85","3.141595","83","86"
"74","3.14113525","76","3.141397","82","3.1417075","81","3.14174975","76","3.141497375","78","82"
"75","3.141267","86","3.142058","81","3.141121","82","3.1408125","76","3.1413146249999997","81","86"
"76","3.1404365","92","3.1414545","94","3.14173325","92","3.14142675","92","3.14126275","92","94"
"77","3.1410435","85","3.141965","76","3.14187725","89","3.1416575","89","3.1416358124999997","84","90"
"78","3.14141875","87","3.1411155","75","3.1416485","79","3.1419665","85","3.1415373125","81","87"
"79","3.14145375","84","3.14118725","77","3.1417645","80","3.14218875","86","3.1416485624999995","81","86"
"80","3.1410425","100","3.141082","100","3.14134525","98","3.14138875","100","3.141214625","99","100"
"81","3.1421145","45","3.1421115","86","3.14163225","79","3.1421525","82","3.1420026875000002","73","86"
"82","3.140881","81","3.141018","85","3.1413945","85","3.141325","82","3.141154625","83","85"
"83","3.14187","77","3.1414875","77","3.142069","83","3.14246425","85","3.1419726875","80","85"
"84","3.141789","98","3.141264","99","3.14176525","98","3.14172025","97","3.1416346250000005","98","99"
"85","3.14149425","79","3.14226925","83","3.14169825","87","3.141459","87","3.1417301875","84","87"
"86","3.1414035","71","3.14185575","89","3.141798","90","3.1420585","86","3.1417789375","84","90"
"87","3.14192","74","3.14147475","82","3.14141175","83","3.1418435","85","3.1416625","81","85"
"88","3.14133075","93","3.141901","97","3.1417685","93","3.14139275","90","3.14159825","93","97"
"89","3.141243","74","3.14228","81","3.14231425","77","3.141578","83","3.1418538125","78","83"
"90","3.14078475","77","3.14129625","77","3.141675","79","3.1413995","86","3.1412888750000003","79","86"
"91","3.14129775","76","3.14185175","79","3.1417925","83","3.142021","86","3.1417407500000003","81","86"
"92","3.14155625","67","3.1415285","105","3.141854","108","3.14198025","109","3.14172975","97","109"
"93","3.14134","83","3.1414935","87","3.1416325","79","3.14217625","86","3.1416605625000003","83","87"
"94","3.14156325","82","3.14240875","77","3.14152525","85","3.14088675","80","3.141596","81","86"
"95","3.1421205","84","3.1422245","88","3.1418335","88","3.14154425","80","3.1419306875000004","85","89"
"96","3.14173425","93","3.14189275","96","3.14218275","99","3.14191475","94","3.1419311249999997","95","99"
"97","3.141246","66","3.141931","83","3.1423465","83","3.14162525","80","3.1417871875000003","78","84"
"98","3.142209","73","3.141691","80","3.141811","79","3.14121425","83","3.1417313125","78","83"
"99","3.1418075","88","3.14158275","78","3.14148375","88","3.14100625","88","3.1414700625","85","88"
"100","3.14154925","76","3.1421665","86","3.14043425","82","3.14107675","81","3.1413066875","81","86"
"Averages","3.1415428250000006","81","3.141632402499998","84","3.1416214775000015","84","3.1415714374999997","85","3.141592035625","83","88"
