"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Total Runtime (ms)"
"47","3.14181725","211","3.1422365","211","3.14197775","211","3.1416325","211","3.1418045","211","3.1421595","211","3.14194575","211","3.14204525","211","3.14170025","211","3.14123725","211","3.141904","211","211"
"48","3.14114425","211","3.141892","211","3.141963","211","3.140986","211","3.1406355","211","3.14208025","211","3.14150875","211","3.14185625","211","3.14093375","211","3.14167675","211","3.1419415","211","212"
"49","3.14132975","218","3.14208225","218","3.14147625","218","3.141093","218","3.141396","218","3.14141325","218","3.14181375","218","3.14155375","218","3.14145325","218","3.14138975","218","3.1415395","218","218"
"50","3.1424905","214","3.14166625","214","3.1422305","214","3.142161","214","3.1419215","214","3.142137","214","3.141385","214","3.141687","214","3.14155175","214","3.14155275","214","3.141553","214","214"
"51","3.1416215","225","3.14181775","225","3.14158875","225","3.14184125","225","3.14183125","225","3.14105325","225","3.1410565","225","3.14162575","225","3.14149025","225","3.14111225","225","3.141261","225","226"
"52","3.1411075","209","3.1414385","209","3.141178","209","3.141259","209","3.14185975","209","3.14234575","209","3.141178","209","3.1414865","209","3.14103725","209","3.14135375","209","3.14101475","209","209"
"53","3.14125475","219","3.14095525","219","3.1417815","219","3.14123675","219","3.141145","219","3.14109875","219","3.1413145","219","3.14181525","219","3.1420845","219","3.141168","219","3.14219575","219","220"
"54","3.14151675","206","3.141515","206","3.1414405","206","3.14194275","206","3.1412985","206","3.142417","206","3.14126375","206","3.14105125","206","3.14229525","206","3.14136425","206","3.14212325","206","209"
"55","3.142088","214","3.14194775","214","3.1412225","214","3.14179675","214","3.1417545","214","3.14145425","214","3.142392","214","3.14144","214","3.1417145","214","3.14114775","214","3.14093725","214","214"
"56","3.1417585","212","3.1412755","212","3.14192925","212","3.1414535","212","3.1420675","212","3.141494","212","3.141981","212","3.14078075","212","3.1418295","212","3.14110725","212","3.14209675","212","212"
"57","3.14213","209","3.14205675","209","3.14232325","209","3.14143325","209","3.14066225","209","3.14157725","209","3.141296","209","3.14147025","209","3.1416285","209","3.141657","209","3.14185175","209","209"
"58","3.1412215","213","3.14089225","213","3.14112725","213","3.14194375","213","3.14187825","213","3.1418525","213","3.1418165","213","3.14183075","213","3.141109","213","3.1417735","213","3.142123","213","213"
"59","3.14173","214","3.14227875","214","3.1420005","214","3.141941","214","3.14133775","214","3.14145725","214","3.142085","214","3.14126525","214","3.1414065","214","3.141585","214","3.14209525","214","214"
"60","3.1410235","220","3.1409265","220","3.14099525","220","3.14117975","220","3.14177725","220","3.141646","220","3.1416185","220","3.14178275","220","3.1416205","220","3.141902","220","3.14126725","220","220"
"61","3.141839","211","3.142076","211","3.14188825","211","3.1412535","211","3.14141825","211","3.14146675","211","3.14161125","211","3.14132825","211","3.1409215","211","3.14170475","211","3.142028","211","211"
"62","3.1417275","214","3.1414185","214","3.1414175","214","3.14067625","214","3.14125475","214","3.14143675","214","3.14118875","214","3.1417705","214","3.1423565","214","3.14145125","214","3.1412875","214","217"
"63","3.14113975","214","3.14175725","214","3.14124025","214","3.14170375","214","3.14129375","214","3.141445","214","3.141809","214","3.14233575","214","3.14149625","214","3.14146475","214","3.1409775","214","214"
"64","3.141945","212","3.141178","212","3.1415765","212","3.141359","212","3.141633","212","3.1410695","212","3.1415115","212","3.14171775","212","3.1416415","212","3.1423445","212","3.14105325","212","212"
"65","3.1417075","209","3.142072","209","3.1412585","209","3.1415215","209","3.1420885","209","3.14182475","209","3.14146675","209","3.14142525","209","3.141285","209","3.1414985","209","3.142141","209","209"
"66","3.1416455","212","3.14142125","212","3.141609","212","3.141533","212","3.14081525","212","3.14154675","212","3.1417065","212","3.14155675","212","3.14166075","212","3.14209475","212","3.141382","212","212"
"67","3.141638","212","3.14137475","212","3.14101325","212","3.141303","212","3.14176975","212","3.14172975","212","3.14197625","212","3.14265825","212","3.14135475","212","3.14151325","212","3.14130025","212","213"
