"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Job[16] Result","Job[16] Runtime (ms)","Total Runtime (ms)"
"39","3.14215725","312","3.1412075","312","3.141567","312","3.14109375","312","3.142289","312","3.14164075","312","3.1413715","312","3.141443","312","3.14143975","312","3.14161225","312","3.141079","312","3.14157825","312","3.14188075","312","3.14231975","312","3.1415785","312","3.14153","312","312"
"40","3.14128725","305","3.14052225","305","3.141985","305","3.141669","305","3.14128025","305","3.141008","305","3.1415575","305","3.14176275","305","3.14183075","305","3.1416895","305","3.1419935","305","3.14230125","305","3.14099425","305","3.14124975","305","3.141014","305","3.14158025","305","306"
"41","3.14192675","305","3.141924","305","3.14141475","305","3.1419735","305","3.142249","305","3.14207025","305","3.14222575","305","3.14242075","305","3.14155775","305","3.14142475","305","3.141106","305","3.14187475","305","3.1414935","305","3.141849","305","3.1416335","305","3.141892","305","305"
"42","3.14111075","306","3.14246225","306","3.14137","306","3.141816","306","3.14222575","306","3.14151025","306","3.1417645","306","3.14236125","306","3.14112975","306","3.14092075","306","3.1418565","306","3.1420945","306","3.14196625","306","3.14061325","306","3.14182575","306","3.141918","306","306"
"43","3.14164175","297","3.14182925","297","3.14173375","297","3.14188075","297","3.1418105","297","3.14193725","297","3.14130625","297","3.1416905","297","3.1416905","297","3.141684","297","3.141896","297","3.14070075","297","3.141886","297","3.14145925","297","3.14164825","297","3.14152075","297","307"
"44","3.142361","306","3.1420395","306","3.14140025","306","3.14171525","306","3.14087725","306","3.14075225","306","3.14169175","306","3.14149025","306","3.14193275","306","3.1415745","306","3.14128575","306","3.14205775","306","3.1414825","306","3.1416845","306","3.14204475","306","3.1414245","306","306"
"45","3.14098775","306","3.141485","306","3.1418425","306","3.14168225","306","3.14186775","306","3.141142","306","3.14207575","306","3.14128275","306","3.14160075","306","3.14160825","306","3.14170575","306","3.14185375","306","3.14251975","306","3.1412475","306","3.141778","306","3.14173925","306","307"
"46","3.141456","298","3.1420535","298","3.142251","298","3.141609","298","3.141501","298","3.14165475","298","3.1414525","298","3.1420135","298","3.14241275","298","3.1416075","298","3.141164","298","3.14146725","298","3.14152175","298","3.14099175","298","3.1419735","298","3.1421455","298","299"
"47","3.141035","302","3.14136125","302","3.1423355","302","3.14240225","302","3.1416585","302","3.141766","302","3.141628","302","3.1418585","302","3.14157625","302","3.14169525","302","3.14245075","302","3.1409305","302","3.1413455","302","3.14167425","302","3.1413095","302","3.14156675","302","302"
"48","3.14099075","306","3.14129125","306","3.1416715","306","3.14173","306","3.14221325","306","3.14152125","306","3.1416275","306","3.141478","306","3.14194025","306","3.14154225","306","3.141187","306","3.14242625","306","3.1408865","306","3.14090375","306","3.14113725","306","3.14145","306","306"
