"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Total Runtime (ms)"
"55","3.14216975","229","3.141886","229","3.1420595","229","3.14146175","229","3.141302","229","3.142051","229","3.1405095","229","3.14181775","229","3.14155875","229","3.14181","229","3.14101075","229","3.140898","229","229"
"56","3.14276175","231","3.141696","231","3.1422365","231","3.14171325","231","3.142119","231","3.14064075","231","3.14183825","231","3.1413795","231","3.14201175","231","3.14111275","231","3.141309","231","3.1418925","231","231"
"57","3.140951","231","3.1417035","231","3.14146375","231","3.14139375","231","3.1419125","231","3.14156625","231","3.1410025","231","3.14153575","231","3.1416195","231","3.1417185","231","3.14180825","231","3.14175225","231","231"
"58","3.14133125","232","3.1420915","232","3.14192925","232","3.14180225","232","3.14172375","232","3.1414315","232","3.14142525","232","3.1414505","232","3.142055","232","3.14188075","232","3.14143775","232","3.14162325","232","232"
"59","3.14169325","229","3.1413185","229","3.1412195","229","3.142111","229","3.14218875","229","3.14151375","229","3.14068575","229","3.141613","229","3.1414025","229","3.1419775","229","3.14150875","229","3.1415975","229","229"
"60","3.142184","237","3.14182325","237","3.14176575","237","3.1417235","237","3.14132075","237","3.14163375","237","3.1422","237","3.1410245","237","3.14100625","237","3.14126925","237","3.14158425","237","3.14061375","237","237"
"61","3.140924","227","3.1420455","227","3.1416005","227","3.14089675","227","3.14200175","227","3.14137675","227","3.14115075","227","3.1410925","227","3.14079025","227","3.14188625","227","3.141626","227","3.1411555","227","227"
"62","3.141443","233","3.14157275","233","3.141382","233","3.1412925","233","3.14114175","233","3.141382","233","3.14120775","233","3.1413225","233","3.14102275","233","3.14116375","233","3.14117125","233","3.14133","233","233"
"63","3.1414585","229","3.1417075","229","3.1418085","229","3.14116175","229","3.141617","229","3.141893","229","3.1417785","229","3.14200225","229","3.142237","229","3.141835","229","3.14134925","229","3.142113","229","229"
"64","3.1416655","234","3.141873","234","3.14170075","234","3.1424885","234","3.14130925","234","3.141847","234","3.14195275","234","3.14148","234","3.141442","234","3.141259","234","3.1413095","234","3.140865","234","235"
"65","3.14200825","229","3.14154675","229","3.141532","229","3.1413365","229","3.1419375","229","3.141786","229","3.14168625","229","3.14167075","229","3.14175525","229","3.141507","229","3.1414845","229","3.14168525","229","229"
"66","3.14136875","232","3.1420515","232","3.14151175","232","3.1410805","232","3.14142825","232","3.14121475","232","3.1412735","232","3.141949","232","3.1419875","232","3.1412525","232","3.141844","232","3.14173075","232","232"
"67","3.1417935","228","3.14206125","228","3.14205075","228","3.14256825","228","3.14127575","228","3.14157825","228","3.14102175","228","3.14079575","228","3.14182975","228","3.14166525","228","3.14135625","228","3.14235525","228","228"
"68","3.1420325","233","3.1408085","233","3.1407075","233","3.1415485","233","3.14201975","233","3.141995","233","3.14188575","233","3.1420565","233","3.1413425","233","3.14113475","233","3.1414405","233","3.14113675","233","233"
"69","3.141541","231","3.14123875","231","3.141572","231","3.141442","231","3.14127275","231","3.141809","231","3.14132625","231","3.141465","231","3.14127525","231","3.1420645","231","3.1411615","231","3.14141175","231","231"
"70","3.1416605","226","3.1419135","226","3.14225575","226","3.14112125","226","3.1413335","226","3.14182125","226","3.14180525","226","3.14169075","226","3.1416065","226","3.141733","226","3.1415175","226","3.14222725","226","226"
"71","3.141348","229","3.1408075","229","3.142197","229","3.1418675","229","3.1418115","229","3.14150575","229","3.141266","229","3.1425945","229","3.141283","229","3.14246475","229","3.14174675","229","3.14176475","229","229"
"72","3.1414995","230","3.14139","230","3.141322","230","3.141627","230","3.14196175","230","3.1422905","230","3.1410455","230","3.1411345","230","3.14183375","230","3.1417605","230","3.14136","230","3.1409115","230","230"
"73","3.14097075","238","3.141901","238","3.14132925","238","3.14185925","238","3.1419955","238","3.14177625","238","3.142318","238","3.1412595","238","3.1412985","238","3.141842","238","3.14172375","238","3.14156625","238","239"
"74","3.14162675","226","3.141896","226","3.14143275","226","3.1413","226","3.14164175","226","3.14130825","226","3.141675","226","3.1419845","226","3.14137225","226","3.14087925","226","3.14169575","226","3.142059","226","226"
"75","3.1416175","228","3.14150575","228","3.1418335","228","3.141973","228","3.141564","228","3.14107375","228","3.14192225","228","3.14057775","228","3.14101","228","3.14169375","228","3.14152975","228","3.1410705","228","228"
"76","3.14163475","235","3.1412765","235","3.14171425","235","3.141294","235","3.141972","235","3.140895","235","3.14152975","235","3.142185","235","3.1418405","235","3.14120275","235","3.14182875","235","3.14148525","235","235"
"77","3.14104675","233","3.1421175","233","3.14173425","233","3.14165375","233","3.1418455","233","3.141245","233","3.14157825","233","3.14090425","233","3.141441","233","3.14170425","233","3.14234325","233","3.14146675","233","233"
"78","3.14113275","234","3.14126075","234","3.14171175","234","3.14147225","234","3.141712","234","3.141979","234","3.1412885","234","3.14141425","234","3.142262","234","3.14135275","234","3.141931","234","3.14143425","234","234"
"79","3.14110725","234","3.14153875","234","3.141652","234","3.1415895","234","3.1422495","234","3.14227375","234","3.14154225","234","3.1417525","234","3.14155325","234","3.14145775","234","3.14133275","234","3.141917","234","234"
"80","3.1413725","229","3.14164475","229","3.14048325","229","3.141388","229","3.14181825","229","3.1418205","229","3.14190875","229","3.142014","229","3.14198875","229","3.14141025","229","3.14094375","229","3.142387","229","230"
"81","3.141669","230","3.141942","230","3.14123075","230","3.141286","230","3.14164625","230","3.1422615","230","3.1420185","230","3.1419335","230","3.1414915","230","3.14193075","230","3.1419045","230","3.1418515","230","230"
"82","3.14177625","232","3.14128375","232","3.14195075","232","3.14161","232","3.14143625","232","3.1417495","232","3.14108725","232","3.14174","232","3.141971","232","3.14130975","232","3.1405015","232","3.141057","232","234"
"83","3.1414725","235","3.14200875","235","3.141736","235","3.141465","235","3.14155625","235","3.14093425","235","3.14111025","235","3.1419305","235","3.142041","235","3.1417815","235","3.14047475","235","3.14245175","235","235"
"84","3.1418435","226","3.141762","226","3.1412775","226","3.14118225","226","3.1420375","226","3.1420965","226","3.1417395","226","3.140896","226","3.1414015","226","3.141243","226","3.1414165","226","3.14131675","226","226"
"85","3.14237775","233","3.1419285","233","3.14162675","233","3.14148675","233","3.141323","233","3.1417815","233","3.1413285","233","3.1415515","233","3.141734","233","3.1418575","233","3.14091125","233","3.141461","233","234"
"86","3.14174925","237","3.14191275","237","3.1419835","237","3.14154875","237","3.14140525","237","3.1407705","237","3.1409905","237","3.14105825","237","3.14146075","237","3.141963","237","3.1415705","237","3.1413545","237","237"
"87","3.14159275","235","3.1415915","235","3.14123075","235","3.1416975","235","3.1414175","235","3.14238925","235","3.1416825","235","3.14234525","235","3.14167075","235","3.1423005","235","3.141649","235","3.14203875","235","236"
"88","3.14177125","231","3.1420125","231","3.141737","231","3.14207125","231","3.14222075","231","3.1413075","231","3.141415","231","3.14113175","231","3.14137575","231","3.14099325","231","3.14120225","231","3.14213675","231","231"
"89","3.14132875","206","3.14254375","206","3.14175625","206","3.140745","206","3.141566","206","3.14147825","206","3.1410335","206","3.141612","206","3.14187575","206","3.1419885","206","3.141412","206","3.1417505","206","232"
"90","3.14159","237","3.141946","237","3.141858","237","3.14198525","237","3.14160975","237","3.1410555","237","3.14136025","237","3.14128425","237","3.14216725","237","3.14157225","237","3.14134125","237","3.141384","237","237"
"91","3.14163025","226","3.14205325","226","3.14161625","226","3.14141925","226","3.14146225","226","3.14159425","226","3.14195925","226","3.1416545","226","3.141436","226","3.142027","226","3.141922","226","3.1420965","226","226"
"92","3.141948","230","3.14149975","230","3.1421905","230","3.14054425","230","3.142253","230","3.141471","230","3.14185875","230","3.14125175","230","3.14146075","230","3.141437","230","3.1414125","230","3.1413545","230","231"
"93","3.14086025","229","3.14150275","229","3.14188975","229","3.14160125","229","3.1415885","229","3.142352","229","3.14094625","229","3.141232","229","3.14205275","229","3.14206675","229","3.14145975","229","3.14128725","229","229"
"94","3.14146175","242","3.1420995","242","3.1412765","242","3.141712","242","3.1409225","242","3.1416115","242","3.14203525","242","3.141927","242","3.14152725","242","3.14106675","242","3.1423205","242","3.14172475","242","242"
"95","3.141514","241","3.14086675","241","3.1411455","241","3.14147725","241","3.14139425","241","3.141411","241","3.14194875","241","3.14070425","241","3.141953","241","3.14189975","241","3.1415735","241","3.14148525","241","242"
"96","3.14141625","236","3.140596","236","3.1415335","236","3.14153675","236","3.141884","236","3.14182","236","3.142003","236","3.1418185","236","3.1413995","236","3.14148875","236","3.14197775","236","3.1410735","236","237"
"97","3.14092075","229","3.14137325","229","3.1413775","229","3.14154225","229","3.1416695","229","3.14188825","229","3.1418885","229","3.141716","229","3.1411635","229","3.141569","229","3.14184925","229","3.14119575","229","229"
"98","3.14181175","229","3.141462","229","3.14193575","229","3.14132625","229","3.1412745","229","3.14167825","229","3.14143","229","3.14091225","229","3.14252325","229","3.14072","229","3.14104825","229","3.141469","229","229"
"99","3.14159625","235","3.1419175","235","3.14092","235","3.14152325","235","3.14078925","235","3.14213225","235","3.14098325","235","3.141318","235","3.14175625","235","3.141536","235","3.142249","235","3.1422605","235","237"
"100","3.141445","235","3.14149225","235","3.14187525","235","3.14234425","235","3.14223175","235","3.141609","235","3.14184575","235","3.142244","235","3.14130875","235","3.1417725","235","3.14089525","235","3.14212025","235","235"
