"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Total Runtime (ms)"
"42","3.14147925","287","3.141585","287","3.1409785","287","3.14111","287","3.14206425","287","3.141484","287","3.14118675","287","3.14121475","287","3.1409125","287","3.1418535","287","3.141384","287","3.14189425","287","3.141","287","3.1418505","287","287"
"43","3.14121975","283","3.1417505","283","3.14097325","283","3.142317","283","3.141037","283","3.14194325","283","3.1413835","283","3.14203325","283","3.14181025","283","3.14217525","283","3.1418155","283","3.141489","283","3.14219675","283","3.1414145","283","287"
"44","3.14155575","272","3.141586","272","3.14208","272","3.141869","272","3.1415625","272","3.14185925","272","3.1407795","272","3.141657","272","3.14233275","272","3.14178275","272","3.14181725","272","3.14148475","272","3.1416865","272","3.1414485","272","280"
"45","3.14156725","269","3.141909","269","3.14098","269","3.14085575","269","3.1412995","269","3.14166625","269","3.142089","269","3.141357","269","3.14201975","269","3.141288","269","3.141561","269","3.14196075","269","3.14149725","269","3.14163125","269","269"
"46","3.14064125","280","3.14256425","280","3.14158175","280","3.14157575","280","3.14161875","280","3.14149","280","3.14171275","280","3.141027","280","3.14238225","280","3.14174375","280","3.141844","280","3.14168225","280","3.14138975","280","3.14206225","280","280"
"47","3.14156175","278","3.1420135","278","3.1417485","278","3.1414445","278","3.14139275","278","3.14202075","278","3.14180425","278","3.14101625","278","3.1418365","278","3.1423685","278","3.141135","278","3.14225475","278","3.14142625","278","3.141568","278","278"
"48","3.14141475","280","3.14209225","280","3.1415605","280","3.142261","280","3.1414585","280","3.14120275","280","3.14231","280","3.14149175","280","3.14144825","280","3.14157875","280","3.1419415","280","3.1417255","280","3.14101375","280","3.14101","280","280"
"49","3.14211075","283","3.141649","283","3.14080975","283","3.14199425","283","3.1411815","283","3.141587","283","3.141576","283","3.1417205","283","3.14128825","283","3.14113125","283","3.14186275","283","3.14137475","283","3.14181125","283","3.1417505","283","283"
"50","3.141611","278","3.14134825","278","3.1418475","278","3.14180775","278","3.14131625","278","3.141288","278","3.14163325","278","3.14216775","278","3.14114125","278","3.14187275","278","3.14130775","278","3.14108675","278","3.141205","278","3.141887","278","278"
"51","3.142044","282","3.14102475","282","3.142113","282","3.14160875","282","3.14200675","282","3.14154775","282","3.141493","282","3.141554","282","3.141997","282","3.141552","282","3.14144325","282","3.14200475","282","3.1417195","282","3.1416595","282","282"
