"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Total Runtime (ms)"
"61","3.14163425","301","3.14174425","301","3.14152925","301","3.14207925","301","3.141366","301","3.14157725","301","3.141626","301","3.142175","301","3.14183675","301","3.14210825","301","3.14112125","301","3.1405875","301","3.14135325","301","3.141858","301","3.14055325","301","301"
"62","3.14185825","306","3.14150025","306","3.1419285","306","3.14179825","306","3.1417535","306","3.141836","306","3.14183275","306","3.1413145","306","3.14129375","306","3.14118625","306","3.1419525","306","3.14158","306","3.14131225","306","3.1416915","306","3.142005","306","307"
"63","3.141768","295","3.14161725","295","3.141068","295","3.141074","295","3.14140225","295","3.14165925","295","3.14124575","295","3.1420365","295","3.14154875","295","3.142318","295","3.14204925","295","3.14203625","295","3.14054275","295","3.141396","295","3.14144575","295","295"
"64","3.141965","293","3.1412465","293","3.14147925","293","3.141832","293","3.1413865","293","3.14173525","293","3.141512","293","3.14146475","293","3.14092725","293","3.14145125","293","3.1411265","293","3.1419395","293","3.142243","293","3.1420705","293","3.1414345","293","293"
"65","3.1408285","298","3.14145","298","3.1418045","298","3.1417445","298","3.14092975","298","3.14262875","298","3.14124525","298","3.14217875","298","3.141216","298","3.14199075","298","3.14149575","298","3.14172375","298","3.1414035","298","3.14186725","298","3.141377","298","299"
"66","3.14191875","302","3.14141925","302","3.1413615","302","3.141366","302","3.1410615","302","3.14139825","302","3.1420055","302","3.1409025","302","3.1413845","302","3.142027","302","3.1425195","302","3.141907","302","3.14177875","302","3.14181675","302","3.14129225","302","302"
"67","3.141853","296","3.14142575","296","3.141357","296","3.1416855","296","3.14150425","296","3.1413585","296","3.141523","296","3.14172625","296","3.14160825","296","3.14189475","296","3.14211675","296","3.14224725","296","3.141737","296","3.14095325","296","3.14154175","296","296"
"68","3.14158825","298","3.14166325","298","3.14166025","298","3.141049","298","3.14185525","298","3.14152525","298","3.1415845","298","3.1423605","298","3.1421195","298","3.1412655","298","3.14157725","298","3.14225325","298","3.14274425","298","3.141781","298","3.14088375","298","299"
"69","3.14137525","295","3.140852","295","3.14176475","295","3.14165775","295","3.141577","295","3.14205975","295","3.141635","295","3.1413275","295","3.14162325","295","3.141161","295","3.14138075","295","3.14174025","295","3.14195725","295","3.14103275","295","3.14151","295","295"
"70","3.141499","300","3.141426","300","3.1411155","300","3.14242625","300","3.141679","300","3.14134025","300","3.141832","300","3.14117625","300","3.14119","300","3.1412675","300","3.14111975","300","3.14116","300","3.141856","300","3.14172825","300","3.140751","300","300"
"71","3.14101475","297","3.14187225","297","3.14134475","297","3.14227525","297","3.1415665","297","3.14124025","297","3.14158125","297","3.141726","297","3.14196975","297","3.1414015","297","3.1408955","297","3.14138025","297","3.14205825","297","3.142297","297","3.141429","297","297"
"72","3.14080725","298","3.14086475","298","3.14170325","298","3.14238","298","3.141603","298","3.14123425","298","3.141082","298","3.14234175","298","3.14211425","298","3.14163025","298","3.14145325","298","3.141742","298","3.14168875","298","3.140742","298","3.141421","298","299"
