"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Total Runtime (ms)"
"81","3.14161875","176","3.1415705","176","3.1422095","176","3.14157425","176","3.141158","176","3.14268575","176","3.14115775","176","3.14035675","176","176"
"82","3.14184275","160","3.1418505","160","3.141864","160","3.14055025","160","3.1412475","160","3.14170825","160","3.14083625","160","3.14206575","160","160"
"83","3.14141675","178","3.142364","178","3.1412715","178","3.141711","178","3.141906","178","3.141942","178","3.1414755","178","3.1410015","178","178"
"84","3.14169175","158","3.14075","158","3.14147725","158","3.14118225","158","3.142143","158","3.1414975","158","3.14234925","158","3.1425295","158","158"
"85","3.141577","174","3.140805","174","3.1412645","174","3.1417895","174","3.14129025","174","3.1417305","174","3.1413475","174","3.14230325","174","174"
"86","3.1411105","156","3.141847","156","3.1419645","156","3.14175825","156","3.14157125","156","3.14176475","156","3.14186125","156","3.1415045","156","157"
"87","3.14183075","170","3.141338","170","3.1416025","170","3.14120425","170","3.141758","170","3.14178425","170","3.14118725","170","3.1414085","170","170"
"88","3.141629","158","3.14162675","158","3.1416425","158","3.14135525","158","3.1413915","158","3.141501","158","3.14176325","158","3.14145","158","158"
"89","3.1413405","169","3.1416505","169","3.141319","169","3.141647","169","3.14117225","169","3.14218325","169","3.140783","169","3.141095","169","169"
"90","3.1414865","158","3.14126","158","3.1413155","158","3.141685","158","3.142055","158","3.14159375","158","3.141904","158","3.1425215","158","158"
"91","3.141859","168","3.1416495","168","3.1411235","168","3.14198525","168","3.14163425","168","3.14174375","168","3.14201975","168","3.14251025","168","168"
"92","3.141563","161","3.1418055","161","3.14078075","161","3.141006","161","3.14142","161","3.14171525","161","3.14097875","161","3.141663","161","161"
"93","3.141164","167","3.141185","167","3.14099125","167","3.14152225","167","3.14156375","167","3.141272","167","3.140967","167","3.141448","167","167"
"94","3.14203825","155","3.14130775","155","3.14096875","155","3.1417105","155","3.141557","155","3.14165525","155","3.141019","155","3.14098875","155","155"
"95","3.14079825","167","3.14184075","167","3.1416925","167","3.14157425","167","3.14092725","167","3.14115875","167","3.14244125","167","3.141851","167","167"
"96","3.14111775","163","3.1428345","163","3.14141025","163","3.141991","163","3.14230525","163","3.14205475","163","3.1412945","163","3.142113","163","163"
"97","3.14135875","165","3.1418235","165","3.141427","165","3.14156375","165","3.1415695","165","3.14209975","165","3.14144175","165","3.14134225","165","165"
"98","3.14136925","155","3.1416235","155","3.1423145","155","3.14163625","155","3.14131375","155","3.141306","155","3.141409","155","3.14184275","155","155"
"99","3.14157675","164","3.14205675","164","3.141741","164","3.1417845","164","3.140612","164","3.140877","164","3.1419","164","3.14184575","164","164"
"100","3.1403195","155","3.14196325","155","3.14277325","155","3.14202675","155","3.1415205","155","3.1413815","155","3.141923","155","3.1412115","155","155"
