"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Total Runtime (ms)"
"34","3.14220575","119","3.14134925","119","3.1409605","119","3.1426485","119","3.141686","119","119"
"35","3.141484","98","3.141947","98","3.14176925","98","3.14109175","98","3.14080425","98","98"
"36","3.14157875","103","3.14102425","103","3.14107","103","3.14188725","103","3.14235175","103","103"
"37","3.14096275","118","3.14117875","118","3.14112625","118","3.14187","118","3.14166875","118","118"
"38","3.14145675","101","3.1412025","101","3.142168","101","3.1415915","101","3.141391","101","101"
"39","3.14104225","113","3.14158775","113","3.14135125","113","3.14097","113","3.1413375","113","113"
"40","3.14165575","105","3.14132525","105","3.141855","105","3.141625","105","3.14143475","105","105"
"41","3.14130325","105","3.1411715","105","3.14151025","105","3.142126","105","3.14178425","105","105"
"42","3.1410255","104","3.1417075","104","3.1416555","104","3.1411075","104","3.14205875","104","104"
"43","3.14246475","106","3.1419545","106","3.141414","106","3.141139","106","3.141965","106","106"
"44","3.14183825","116","3.14097275","116","3.141411","116","3.1421735","116","3.14138075","116","116"
"45","3.1413405","104","3.140895","104","3.141676","104","3.14232725","104","3.14118375","104","104"
"46","3.14159875","101","3.14259175","101","3.14099425","101","3.1418035","101","3.1422135","101","101"
"47","3.14191725","120","3.1417925","120","3.14124325","120","3.14184225","120","3.14149","120","120"
"48","3.14157625","105","3.141119","105","3.1420935","105","3.1417365","105","3.14209275","105","105"
"49","3.14202975","102","3.142397","102","3.1416925","102","3.1410025","102","3.14120775","102","102"
"50","3.14271725","109","3.1416025","109","3.140838","109","3.1415235","109","3.141367","109","109"
"51","3.14114025","107","3.1402845","107","3.142245","107","3.1409925","107","3.14113075","107","107"
"52","3.142038","106","3.1422515","106","3.1415685","106","3.14156375","106","3.14157625","106","106"
"53","3.1407615","111","3.14198","111","3.141805","111","3.1416505","111","3.14207475","111","111"
"54","3.14132525","107","3.141607","107","3.1416355","107","3.1417015","107","3.14138975","107","107"
"55","3.14153725","104","3.1413165","104","3.14213525","104","3.14162425","104","3.1412475","104","104"
"56","3.14201725","110","3.1421015","110","3.14145075","110","3.14094125","110","3.1417515","110","110"
"57","3.14095875","101","3.14154375","101","3.14133875","101","3.14126325","101","3.14146425","101","101"
"58","3.14183225","108","3.14169075","108","3.14152175","108","3.14137675","108","3.1417985","108","109"
"59","3.1423615","106","3.14149875","106","3.14109175","106","3.14179","106","3.141828","106","106"
"60","3.141692","103","3.14125125","103","3.140957","103","3.14147375","103","3.14160025","103","103"
"61","3.141582","105","3.1417055","105","3.14096575","105","3.1413815","105","3.14031625","105","106"
"62","3.1413975","105","3.14128275","105","3.14184575","105","3.14145475","105","3.14194625","105","105"
"63","3.14150675","118","3.141746","118","3.14159525","118","3.14132275","118","3.142007","118","118"
"64","3.14090675","103","3.140961","103","3.141669","103","3.142035","103","3.14117525","103","106"
"65","3.14137525","104","3.14137125","104","3.14119375","104","3.1422405","104","3.1408975","104","104"
"66","3.1409485","110","3.14126925","110","3.1408125","110","3.1416525","110","3.14184875","110","110"
"67","3.14213175","110","3.1414255","110","3.14093525","110","3.14184525","110","3.141382","110","110"
"68","3.14204325","101","3.140832","101","3.1415385","101","3.142172","101","3.141731","101","101"
"69","3.14164","116","3.141738","116","3.1419745","116","3.141847","116","3.14124725","116","116"
"70","3.14196175","107","3.140946","107","3.1418195","107","3.14162125","107","3.1410215","107","111"
"71","3.1421815","103","3.141954","103","3.14097525","103","3.141618","103","3.141108","103","103"
"72","3.141465","111","3.14209725","111","3.14156875","111","3.14221","111","3.1416145","111","111"
"73","3.14115325","105","3.142326","105","3.141554","105","3.14150825","105","3.14120175","105","105"
"74","3.14198875","100","3.1410425","100","3.141615","100","3.14135875","100","3.141338","100","100"
"75","3.14155075","113","3.14180875","113","3.141503","113","3.14157175","113","3.14147425","113","113"
"76","3.14188475","104","3.14208925","104","3.14185075","104","3.14211025","104","3.1414345","104","104"
"77","3.14162475","107","3.14178925","107","3.141146","107","3.142071","107","3.14175025","107","107"
"78","3.14090125","120","3.1417455","120","3.141335","120","3.14162775","120","3.141811","120","120"
"79","3.14146275","102","3.14151175","102","3.141145","102","3.14161275","102","3.14143475","102","102"
"80","3.1424","105","3.14093425","105","3.1414805","105","3.14175375","105","3.14204275","105","105"
"81","3.1421705","104","3.14158775","104","3.14183475","104","3.1415865","104","3.14151225","104","104"
"82","3.14253075","117","3.14034625","117","3.14140875","117","3.14290075","117","3.1417","117","117"
"83","3.14155975","103","3.141688","103","3.14167875","103","3.14124075","103","3.14186225","103","103"
"84","3.14120025","104","3.1412275","104","3.14152375","104","3.1416185","104","3.1410685","104","104"
"85","3.1415465","118","3.14169425","118","3.1421125","118","3.14126675","118","3.14132225","118","118"
"86","3.14112275","104","3.14222075","104","3.141563","104","3.1409845","104","3.14147175","104","104"
"87","3.140876","105","3.14155925","105","3.1418355","105","3.14154925","105","3.14177925","105","105"
"88","3.1410115","125","3.1415675","125","3.14211575","125","3.1416675","125","3.141868","125","125"
"89","3.1420115","107","3.14162025","107","3.14271725","107","3.14159825","107","3.14192225","107","107"
"90","3.141698","104","3.14120525","104","3.1416075","104","3.141153","104","3.1411685","104","104"
"91","3.141227","114","3.14136425","114","3.141135","114","3.1410605","114","3.14159725","114","114"
"92","3.14126325","113","3.14180425","113","3.141637","113","3.14225475","113","3.14190275","113","113"
"93","3.14249325","108","3.14231225","108","3.14173025","108","3.14199125","108","3.142379","108","108"
"94","3.14168675","111","3.14138925","111","3.14203475","111","3.14147975","111","3.141832","111","112"
"95","3.1410915","102","3.14146425","102","3.142247","102","3.14169625","102","3.14165575","102","102"
"96","3.14180975","103","3.14191025","103","3.14105925","103","3.14212175","103","3.14134975","103","103"
"97","3.14202275","104","3.14127875","104","3.14169875","104","3.14138775","104","3.14143125","104","104"
"98","3.14219075","106","3.140971","106","3.14062725","106","3.14144825","106","3.1416815","106","106"
"99","3.14131675","104","3.14081825","104","3.14194825","104","3.1412685","104","3.1414895","104","104"
"100","3.1411555","103","3.140504","103","3.14110725","103","3.141331","103","3.1414365","103","103"
