"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Total Runtime (ms)"
"55","3.141254","201","3.1414305","201","3.14185475","201","3.14147975","201","3.14131875","201","3.14175825","201","3.1419175","201","3.14157525","201","3.14171325","201","3.14131975","201","201"
"56","3.141643","217","3.1410735","217","3.1418105","217","3.14157525","217","3.14130425","217","3.1410235","217","3.142282","217","3.14210925","217","3.141227","217","3.14158775","217","217"
"57","3.14136125","196","3.1412255","196","3.14141975","196","3.141779","196","3.14153275","196","3.141961","196","3.14121","196","3.14174225","196","3.14217575","196","3.14047975","196","196"
"58","3.1414865","206","3.1414735","206","3.14172225","206","3.14186075","206","3.14202825","206","3.1418465","206","3.1415665","206","3.14190375","206","3.14159","206","3.141837","206","210"
"59","3.14094825","205","3.14081425","205","3.14159825","205","3.14223975","205","3.14212725","205","3.141736","205","3.1419145","205","3.1409945","205","3.14182275","205","3.14187175","205","205"
"60","3.141388","197","3.14146425","197","3.14214625","197","3.141829","197","3.1416625","197","3.14163775","197","3.1415885","197","3.14178675","197","3.1417795","197","3.14110675","197","197"
"61","3.14202925","203","3.14153525","203","3.14237725","203","3.14151025","203","3.14148175","203","3.140489","203","3.1416505","203","3.1410255","203","3.14202925","203","3.1411515","203","203"
"62","3.14143475","197","3.14142625","197","3.14134925","197","3.14173125","197","3.14106225","197","3.14141625","197","3.141162","197","3.14136675","197","3.141584","197","3.14147325","197","197"
"63","3.14121975","194","3.14114725","194","3.14127","194","3.1416385","194","3.14118625","194","3.14152175","194","3.14141625","194","3.1416025","194","3.1416605","194","3.1419805","194","194"
"64","3.1409595","209","3.14189875","209","3.141998","209","3.1416545","209","3.140691","209","3.1414205","209","3.141916","209","3.141538","209","3.1417855","209","3.14185","209","211"
"65","3.14163175","194","3.1417145","194","3.14181325","194","3.141692","194","3.1419465","194","3.14168875","194","3.14097625","194","3.14131225","194","3.1415145","194","3.1411245","194","194"
"66","3.1416845","203","3.14103075","203","3.14161125","203","3.1412995","203","3.1419545","203","3.14190775","203","3.141997","203","3.141833","203","3.14092725","203","3.14232325","203","203"
"67","3.14127525","203","3.14082325","203","3.14129725","203","3.1424945","203","3.14156375","203","3.14196975","203","3.14144625","203","3.14154725","203","3.14118825","203","3.14200475","203","203"
